,R1W1,R1W2,R1W3,R1W4,R1W5,R1W6,R1W7,R1W8,R1X1,R1X2,R1X3,R1X4,R1X5,R1X6,R1X7,R1X8,R1Y1,R1Y2,R1Y3,R1Y4,R1Y5,R1Y6,R1Y7,R1Y8,R1Z1,R1Z2,R1Z3,R1Z4,R1Z5,R1Z6,R1Z7,R1Z8,R2W1,R2W2,R2W3,R2W4,R2X1,R2X2,R2X3,R2X4,R2Y1,R2Y2,R2Y3,R2Y4,R2Z1,R2Z2,R2Z3,R2Z4,R3W1,R3W2,R3X1,R3X2,R3Y1,R3Y2,R3Z1,R3Z2,R4W1,R4X1,R4Y1,R4Z1,R5WX,R5YZ,R6CH
StrongSeed_GaussianNB_avg_5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Morehead St,Auburn,North Carolina,Arizona,Colgate,Col Charleston,Montana St,Tennessee,Creighton,Kansas,Longwood,WKU,Kentucky,Duke,Connecticut,S Dakota St,North Carolina,Arizona,Utah St,Texas,Longwood,Colorado,Connecticut,North Carolina,McNeese St,Longwood,Morehead St,Texas,North Carolina
WeakSeed_GaussianNB_avg_5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Washington St,BYU,UAB,Mississippi St,Dayton,New Mexico,Grand Canyon,Utah St,Texas,Oregon,McNeese St,Texas A&M,Colorado,NC State,James Madison,UAB,Morehead St,Grand Canyon,New Mexico,McNeese St,Oregon,James Madison,NC State,Morehead St,Arizona,Texas,Colorado,North Carolina,Longwood,Texas
Winner_GaussianNB_avg_5,Connecticut,S Dakota St,Morehead St,Auburn,UAB,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,Grand Canyon,New Mexico,Dayton,Mississippi St,Montana St,Tennessee,Creighton,Kansas,McNeese St,Oregon,Texas,Utah St,Longwood,WKU,Kentucky,Duke,James Madison,NC State,Colorado,Texas A&M,Connecticut,S Dakota St,Morehead St,UAB,North Carolina,Arizona,New Mexico,Grand Canyon,Utah St,Texas,Oregon,McNeese St,Longwood,Colorado,NC State,James Madison,Connecticut,Morehead St,North Carolina,Arizona,McNeese St,Texas,Longwood,Colorado,Morehead St,North Carolina,Texas,Longwood,North Carolina,Texas,North Carolina
StrongSeed_LogisticRegression_avg_5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Morehead St,Auburn,North Carolina,Arizona,Colgate,Col Charleston,Montana St,Tennessee,Creighton,Kansas,Longwood,WKU,Kentucky,Duke,FL Atlantic,S Dakota St,North Carolina,Arizona,Montana St,Tennessee,Longwood,Colorado,UAB,Grand Canyon,McNeese St,Longwood,Morehead St,McNeese St,Grand Canyon
WeakSeed_LogisticRegression_avg_5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Washington St,BYU,UAB,Mississippi St,Nevada,New Mexico,Grand Canyon,Utah St,Texas,South Carolina,McNeese St,Texas A&M,Colorado,NC State,James Madison,UAB,Morehead St,Grand Canyon,New Mexico,McNeese St,Creighton,James Madison,NC State,Morehead St,Arizona,Tennessee,Colorado,Grand Canyon,Longwood,McNeese St
Winner_LogisticRegression_avg_5,Connecticut,S Dakota St,Morehead St,Auburn,UAB,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Mississippi St,Montana St,Tennessee,Creighton,Kansas,McNeese St,South Carolina,Texas,Utah St,Longwood,WKU,Kentucky,Duke,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,S Dakota St,Morehead St,UAB,North Carolina,Arizona,New Mexico,Grand Canyon,Montana St,Tennessee,Creighton,McNeese St,Longwood,Colorado,NC State,James Madison,UAB,Morehead St,Grand Canyon,Arizona,McNeese St,Tennessee,Longwood,Colorado,Morehead St,Grand Canyon,McNeese St,Longwood,Grand Canyon,McNeese St,McNeese St
StrongSeed_DecisionTreeClassifier_avg_5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Stetson,S Dakota St,Morehead St,Auburn,North Carolina,Arizona,Colgate,Col Charleston,Montana St,Tennessee,Creighton,Kansas,Houston,Marquette,Kentucky,Vermont,FL Atlantic,Washington St,North Carolina,Nevada,Utah St,Tennessee,Houston,Colorado,Auburn,Col Charleston,McNeese St,James Madison,Auburn,Creighton,Auburn
WeakSeed_DecisionTreeClassifier_avg_5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Washington St,BYU,UAB,Michigan St,Nevada,Clemson,Grand Canyon,Utah St,Texas,South Carolina,McNeese St,Texas A&M,Colorado,Texas Tech,James Madison,Auburn,BYU,Col Charleston,Colgate,McNeese St,Creighton,James Madison,Texas Tech,Washington St,Colgate,Creighton,Texas Tech,Colgate,James Madison,Creighton
Winner_DecisionTreeClassifier_avg_5,Stetson,S Dakota St,Morehead St,Auburn,UAB,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,Grand Canyon,Clemson,Nevada,Michigan St,Montana St,Tennessee,Creighton,Kansas,McNeese St,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Vermont,James Madison,Texas Tech,Colorado,Texas A&M,FL Atlantic,Washington St,BYU,Auburn,North Carolina,Nevada,Colgate,Col Charleston,Utah St,Tennessee,Creighton,McNeese St,Houston,Colorado,Texas Tech,James Madison,Auburn,Washington St,Col Charleston,Colgate,McNeese St,Creighton,James Madison,Texas Tech,Auburn,Colgate,Creighton,James Madison,Auburn,Creighton,Auburn
StrongSeed_RandomForestClassifier_avg_5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Morehead St,Yale,North Carolina,Arizona,Colgate,Col Charleston,Montana St,Tennessee,Creighton,Kansas,Longwood,WKU,Kentucky,Duke,FL Atlantic,S Dakota St,North Carolina,Arizona,Utah St,Texas,Texas A&M,Colorado,UAB,North Carolina,McNeese St,James Madison,Morehead St,McNeese St,North Carolina
WeakSeed_RandomForestClassifier_avg_5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Washington St,BYU,UAB,Mississippi St,Dayton,New Mexico,Grand Canyon,Utah St,Texas,South Carolina,McNeese St,Texas A&M,Colorado,NC State,James Madison,UAB,Morehead St,Grand Canyon,New Mexico,McNeese St,Creighton,James Madison,Kentucky,Morehead St,Arizona,Texas,Colorado,North Carolina,James Madison,James Madison
Winner_RandomForestClassifier_avg_5,Connecticut,S Dakota St,Morehead St,Yale,UAB,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,Grand Canyon,New Mexico,Dayton,Mississippi St,Montana St,Tennessee,Creighton,Kansas,McNeese St,South Carolina,Texas,Utah St,Longwood,WKU,Kentucky,Duke,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,S Dakota St,Morehead St,UAB,North Carolina,Arizona,New Mexico,Grand Canyon,Utah St,Texas,Creighton,McNeese St,Texas A&M,Colorado,Kentucky,James Madison,UAB,Morehead St,North Carolina,Arizona,McNeese St,Texas,James Madison,Colorado,Morehead St,North Carolina,McNeese St,James Madison,North Carolina,James Madison,James Madison
StrongSeed_XGBClassifier_avg_5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Morehead St,Yale,North Carolina,Arizona,Colgate,Col Charleston,Montana St,Tennessee,Creighton,Kansas,Longwood,WKU,Kentucky,Duke,FL Atlantic,S Dakota St,North Carolina,Arizona,Utah St,Texas,Texas A&M,WKU,UAB,Grand Canyon,McNeese St,Texas A&M,Morehead St,McNeese St,New Mexico
WeakSeed_XGBClassifier_avg_5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Washington St,Duquesne,UAB,Mississippi St,Dayton,New Mexico,Grand Canyon,Utah St,Texas,South Carolina,McNeese St,Texas A&M,Colorado,NC State,James Madison,UAB,Morehead St,Grand Canyon,New Mexico,McNeese St,Creighton,James Madison,NC State,Morehead St,New Mexico,Texas,WKU,New Mexico,Texas A&M,McNeese St
Winner_XGBClassifier_avg_5,Connecticut,S Dakota St,Morehead St,Yale,UAB,Duquesne,Washington St,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,Grand Canyon,New Mexico,Dayton,Mississippi St,Montana St,Tennessee,Creighton,Kansas,McNeese St,South Carolina,Texas,Utah St,Longwood,WKU,Kentucky,Duke,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,S Dakota St,Morehead St,UAB,North Carolina,Arizona,New Mexico,Grand Canyon,Utah St,Texas,Creighton,McNeese St,Texas A&M,WKU,NC State,James Madison,UAB,Morehead St,Grand Canyon,New Mexico,McNeese St,Texas,Texas A&M,WKU,Morehead St,New Mexico,McNeese St,Texas A&M,New Mexico,McNeese St,McNeese St
StrongSeed_VotingClassifier_avg_5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Morehead St,Auburn,North Carolina,Arizona,Colgate,Col Charleston,Montana St,Tennessee,Creighton,Kansas,Longwood,WKU,Kentucky,Duke,FL Atlantic,Washington St,North Carolina,Arizona,Utah St,Texas,Texas A&M,Colorado,UAB,North Carolina,McNeese St,Texas A&M,UAB,Texas,UAB
WeakSeed_VotingClassifier_avg_5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Washington St,BYU,UAB,Mississippi St,Nevada,New Mexico,Grand Canyon,Utah St,Texas,South Carolina,McNeese St,Texas A&M,Colorado,NC State,James Madison,UAB,Morehead St,Grand Canyon,New Mexico,McNeese St,Creighton,James Madison,NC State,Washington St,New Mexico,Texas,NC State,North Carolina,Texas A&M,Texas A&M
