Models,R1W1,R1W2,R1W3,R1W4,R1W5,R1W6,R1W7,R1W8,R1X1,R1X2,R1X3,R1X4,R1X5,R1X6,R1X7,R1X8,R1Y1,R1Y2,R1Y3,R1Y4,R1Y5,R1Y6,R1Y7,R1Y8,R1Z1,R1Z2,R1Z3,R1Z4,R1Z5,R1Z6,R1Z7,R1Z8,R2W1,R2W2,R2W3,R2W4,R2X1,R2X2,R2X3,R2X4,R2Y1,R2Y2,R2Y3,R2Y4,R2Z1,R2Z2,R2Z3,R2Z4,R3W1,R3W2,R3X1,R3X2,R3Y1,R3Y2,R3Z1,R3Z2,R4W1,R4X1,R4Y1,R4Z1,R5WX,R5YZ,R6CH,Accuracy
WeakSeed_GaussianNB_avg_10,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Washington St,BYU,San Diego St,Mississippi St,Nevada,New Mexico,Grand Canyon,TCU,Texas,Oregon,McNeese St,Nebraska,Colorado,Texas Tech,James Madison,Auburn,Morehead St,Grand Canyon,New Mexico,McNeese St,Oregon,James Madison,Kentucky,Morehead St,Arizona,Tennessee,Colorado,Arizona,Colorado,McNeese St,0.603174603
WeakSeed_LogisticRegression_avg_10,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Washington St,BYU,San Diego St,Mississippi St,Nevada,New Mexico,Grand Canyon,Utah St,Texas,South Carolina,McNeese St,Nebraska,Colorado,Texas Tech,James Madison,Auburn,Illinois,Grand Canyon,New Mexico,McNeese St,Creighton,James Madison,Oakland,Washington St,Nevada,Tennessee,Colorado,North Carolina,Colorado,Colorado,0.634920635
WeakSeed_DecisionTreeClassifier_avg_10,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Drake,BYU,San Diego St,Mississippi St,Nevada,New Mexico,Grand Canyon,Utah St,Texas,South Carolina,McNeese St,Texas A&M,Florida,NC State,James Madison,Yale,Illinois,Grand Canyon,New Mexico,McNeese St,Creighton,James Madison,NC State,Illinois,Arizona,Creighton,NC State,Arizona,NC State,Creighton,0.682539683
WeakSeed_RandomForestClassifier_avg_10,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Washington St,BYU,San Diego St,Mississippi St,Nevada,Clemson,Grand Canyon,Utah St,Texas,South Carolina,McNeese St,Nebraska,Colorado,NC State,James Madison,San Diego St,Morehead St,Grand Canyon,Clemson,McNeese St,Creighton,James Madison,Oakland,Morehead St,Arizona,Creighton,Oakland,Arizona,Oakland,Creighton,0.666666667
WeakSeed_XGBClassifier_avg_10,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Washington St,BYU,San Diego St,Mississippi St,Nevada,New Mexico,Grand Canyon,Utah St,Texas,South Carolina,McNeese St,Nebraska,Colorado,NC State,James Madison,Auburn,Morehead St,Grand Canyon,New Mexico,McNeese St,Creighton,James Madison,Oakland,S Dakota St,Arizona,Tennessee,Oakland,Arizona,Oakland,McNeese St,0.634920635
WeakSeed_VotingClassifier_avg_10,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Washington St,BYU,San Diego St,Mississippi St,Nevada,New Mexico,Grand Canyon,Utah St,Texas,South Carolina,McNeese St,Nebraska,Colorado,NC State,James Madison,Auburn,Morehead St,Grand Canyon,New Mexico,McNeese St,Creighton,James Madison,NC State,S Dakota St,Arizona,Tennessee,Colorado,Arizona,Colorado,Tennessee,0.650793651
WeakSeed_MLPClassifier_avg_10,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Washington St,BYU,San Diego St,Mississippi St,Nevada,New Mexico,Grand Canyon,Utah St,Texas,South Carolina,McNeese St,Nebraska,Colorado,NC State,James Madison,Auburn,Morehead St,Grand Canyon,New Mexico,McNeese St,Creighton,James Madison,NC State,S Dakota St,Nevada,Tennessee,Colorado,North Carolina,James Madison,James Madison,0.650793651
WeakSeed_GaussianNB_avg,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Drake,BYU,San Diego St,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Oregon,McNeese St,Texas A&M,Florida,NC State,James Madison,Auburn,BYU,Grand Canyon,New Mexico,McNeese St,Akron,James Madison,NC State,BYU,Arizona,Tennessee,WKU,Arizona,James Madison,Tennessee,0.603174603
WeakSeed_LogisticRegression_avg,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,FL Atlantic,Washington St,BYU,San Diego St,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,South Carolina,McNeese St,Texas A&M,Florida,Texas Tech,James Madison,Auburn,Illinois,Alabama,Baylor,McNeese St,Akron,James Madison,Texas Tech,Washington St,Baylor,Akron,WKU,North Carolina,James Madison,James Madison,0.571428571
WeakSeed_DecisionTreeClassifier_avg,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Grambling,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Northwestern,Drake,BYU,San Diego St,Mississippi St,Dayton,Clemson,Grand Canyon,Utah St,Virginia,Oregon,McNeese St,Nebraska,Colorado,NC State,James Madison,Auburn,Morehead St,Grand Canyon,Clemson,McNeese St,Creighton,James Madison,Oakland,Drake,Arizona,Creighton,Colorado,Mississippi St,James Madison,James Madison,0.666666667
