Models,Accuracy
WeakSeed_GaussianNB_avg_10,0.6166666666666667
WeakSeed_LogisticRegression_avg_10,0.65
WeakSeed_DecisionTreeClassifier_avg_10,0.6666666666666666
WeakSeed_RandomForestClassifier_avg_10,0.6333333333333333
WeakSeed_XGBClassifier_avg_10,0.5833333333333334
WeakSeed_MLPClassifier_avg_10,0.6666666666666666
WeakSeed_GaussianNB_avg,0.6333333333333333
WeakSeed_DecisionTreeClassifier_avg,0.65
WeakSeed_LogisticRegression_avg,0.6166666666666667
WeakSeed_RandomForestClassifier_avg,0.6333333333333333
WeakSeed_XGBClassifier_avg,0.6333333333333333
WeakSeed_MLPClassifier_avg,0.6333333333333333
WeakSeed_GaussianNB_rating_rol10,0.75
WeakSeed_LogisticRegression_rating_rol10,0.8166666666666667
WeakSeed_DecisionTreeClassifier_rating_rol10,0.7166666666666667
WeakSeed_RandomForestClassifier_rating_rol10,0.7666666666666667
WeakSeed_XGBClassifier_rating_rol10,0.8
WeakSeed_MLPClassifier_rating_rol10,0.7833333333333333
WeakSeed_GaussianNB_avg_rating,0.6666666666666666
WeakSeed_LogisticRegression_avg_rating,0.6
WeakSeed_DecisionTreeClassifier_avg_rating,0.7166666666666667
WeakSeed_RandomForestClassifier_avg_rating,0.7
WeakSeed_XGBClassifier_avg_rating,0.7166666666666667
WeakSeed_MLPClassifier_avg_rating,0.6166666666666667
WeakSeed_Actual,1.0
