Models,R1W1,R1W2,R1W3,R1W4,R1W5,R1W6,R1W7,R1W8,R1X1,R1X2,R1X3,R1X4,R1X5,R1X6,R1X7,R1X8,R1Y1,R1Y2,R1Y3,R1Y4,R1Y5,R1Y6,R1Y7,R1Y8,R1Z1,R1Z2,R1Z3,R1Z4,R1Z5,R1Z6,R1Z7,R1Z8,R2W1,R2W2,R2W3,R2W4,R2X1,R2X2,R2X3,R2X4,R2Y1,R2Y2,R2Y3,R2Y4,R2Z1,R2Z2,R2Z3,R2Z4,R3W1,R3W2,R3X1,R3X2,R3Y1,R3Y2,R3Z1,R3Z2,R4W1,R4X1,R4Y1,R4Z1,R5WX,R5YZ,R6CH,Accuracy
Winner_GaussianNB_avg_10,Connecticut,S Dakota St,Morehead St,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Mississippi St,Purdue,Tennessee,Creighton,Samford,McNeese St,Oregon,Texas,TCU,Longwood,WKU,Kentucky,Duke,James Madison,Texas Tech,Colorado,Nebraska,Connecticut,S Dakota St,Morehead St,Auburn,North Carolina,Nevada,New Mexico,Grand Canyon,Purdue,Tennessee,Oregon,McNeese St,Longwood,Colorado,Kentucky,James Madison,Connecticut,Morehead St,North Carolina,Nevada,McNeese St,Tennessee,James Madison,Colorado,Connecticut,North Carolina,Tennessee,Colorado,North Carolina,Tennessee,North Carolina,0.365079365
Winner_LogisticRegression_avg_10,Connecticut,S Dakota St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Mississippi St,Purdue,Tennessee,Creighton,Samford,McNeese St,South Carolina,Texas,Utah St,Houston,WKU,Oakland,Duke,James Madison,Texas Tech,Colorado,Nebraska,FL Atlantic,Washington St,Illinois,Auburn,North Carolina,Nevada,New Mexico,Grand Canyon,Purdue,Tennessee,Creighton,McNeese St,Houston,Colorado,Oakland,James Madison,Auburn,Washington St,North Carolina,Nevada,McNeese St,Creighton,James Madison,Colorado,Auburn,North Carolina,Creighton,Colorado,Auburn,Colorado,Colorado,0.380952381
Winner_DecisionTreeClassifier_avg_10,Stetson,S Dakota St,Morehead St,Yale,San Diego St,BYU,Drake,FL Atlantic,Howard,Arizona,Baylor,Col Charleston,Grand Canyon,New Mexico,Nevada,Mississippi St,Grambling,Tennessee,Creighton,Samford,McNeese St,South Carolina,Texas,TCU,Longwood,WKU,Kentucky,Vermont,James Madison,NC State,Florida,Nebraska,FL Atlantic,Drake,BYU,Yale,Howard,Arizona,New Mexico,Col Charleston,TCU,Tennessee,South Carolina,McNeese St,Nebraska,Florida,NC State,James Madison,Yale,Drake,Col Charleston,New Mexico,McNeese St,Tennessee,James Madison,Florida,Drake,Col Charleston,McNeese St,Florida,Col Charleston,Florida,Col Charleston,0.238095238
Winner_RandomForestClassifier_avg_10,Connecticut,S Dakota St,Morehead St,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,St Mary's CA,Clemson,Nevada,Mississippi St,Purdue,Tennessee,Creighton,Samford,McNeese St,South Carolina,Texas,Utah St,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Nebraska,Connecticut,S Dakota St,Morehead St,Auburn,North Carolina,Nevada,Clemson,St Mary's CA,Purdue,Tennessee,Creighton,McNeese St,Nebraska,Colorado,Oakland,James Madison,Connecticut,Morehead St,St Mary's CA,Nevada,McNeese St,Creighton,James Madison,Colorado,Connecticut,St Mary's CA,Creighton,Colorado,St Mary's CA,Creighton,St Mary's CA,0.396825397
Winner_XGBClassifier_avg_10,Connecticut,S Dakota St,Morehead St,Auburn,San Diego St,BYU,Drake,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,Grand Canyon,New Mexico,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Samford,McNeese St,South Carolina,Texas,Utah St,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Nebraska,FL Atlantic,Drake,Morehead St,Auburn,North Carolina,Arizona,New Mexico,Grand Canyon,Purdue,Tennessee,Creighton,McNeese St,Nebraska,Colorado,Oakland,James Madison,Auburn,Drake,North Carolina,Arizona,McNeese St,Tennessee,James Madison,Oakland,Auburn,Arizona,McNeese St,Oakland,Arizona,McNeese St,McNeese St,0.301587302
Winner_VotingClassifier_avg_10,Connecticut,S Dakota St,Morehead St,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Mississippi St,Purdue,Tennessee,Creighton,Samford,McNeese St,South Carolina,Texas,Utah St,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Nebraska,Connecticut,Washington St,Morehead St,Auburn,North Carolina,Nevada,New Mexico,Grand Canyon,Purdue,Tennessee,Creighton,McNeese St,Nebraska,Colorado,NC State,James Madison,Auburn,Washington St,North Carolina,Nevada,McNeese St,Creighton,James Madison,Colorado,Auburn,North Carolina,Creighton,Colorado,North Carolina,Creighton,Creighton,0.349206349
Winner_MLPClassifier_avg_10,Connecticut,S Dakota St,Morehead St,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Mississippi St,Purdue,Tennessee,Creighton,Samford,McNeese St,South Carolina,Texas,Utah St,Houston,WKU,Oakland,Duke,James Madison,Texas Tech,Colorado,Nebraska,Connecticut,Washington St,Morehead St,Auburn,North Carolina,Nevada,New Mexico,Grand Canyon,Utah St,Tennessee,Creighton,McNeese St,Houston,Colorado,Oakland,James Madison,Auburn,Washington St,North Carolina,Nevada,McNeese St,Tennessee,James Madison,Oakland,Auburn,North Carolina,Tennessee,Oakland,North Carolina,Oakland,Oakland,0.349206349
Winner_GaussianNB_avg,Connecticut,S Dakota St,Morehead St,Auburn,San Diego St,BYU,Drake,FL Atlantic,North Carolina,Arizona,Colgate,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Kentucky,Vermont,James Madison,NC State,Florida,Texas A&M,Connecticut,Drake,BYU,Auburn,North Carolina,Arizona,New Mexico,Grand Canyon,Purdue,Virginia,Akron,McNeese St,Longwood,Florida,NC State,James Madison,Auburn,BYU,North Carolina,New Mexico,McNeese St,Akron,James Madison,Florida,Auburn,North Carolina,Akron,James Madison,Auburn,James Madison,Auburn,0.317460317
Winner_DecisionTreeClassifier_avg,Connecticut,S Dakota St,Morehead St,Auburn,San Diego St,BYU,Drake,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,St Mary's CA,Clemson,Nevada,Michigan St,Purdue,Tennessee,Akron,Samford,McNeese St,South Carolina,Virginia,TCU,Houston,Marquette,Oakland,Vermont,James Madison,NC State,Florida,Nebraska,FL Atlantic,Drake,BYU,San Diego St,North Carolina,Arizona,Clemson,St Mary's CA,TCU,Tennessee,South Carolina,Samford,Houston,Marquette,NC State,James Madison,FL Atlantic,BYU,St Mary's CA,Arizona,Samford,Tennessee,James Madison,Marquette,BYU,St Mary's CA,Tennessee,James Madison,St Mary's CA,James Madison,St Mary's CA,0.349206349
Winner_LogisticRegression_avg,Connecticut,Iowa St,Morehead St,Auburn,San Diego St,Duquesne,Washington St,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,St Mary's CA,Clemson,Nevada,Mississippi St,Grambling,Tennessee,Akron,Kansas,Gonzaga,Oregon,Texas,Utah St,Houston,Marquette,Oakland,Vermont,Wisconsin,NC State,Boise St,Texas A&M,Connecticut,Iowa St,Morehead St,San Diego St,Wagner,Long Beach St,Colgate,St Mary's CA,Utah St,Texas,Oregon,Gonzaga,Houston,Marquette,NC State,Wisconsin,San Diego St,Iowa St,St Mary's CA,Long Beach St,Gonzaga,Texas,Houston,NC State,San Diego St,St Mary's CA,Texas,NC State,St Mary's CA,Texas,Texas,0.412698413
