Models,Accuracy
GaussianNB_avg_10,0.35
LogisticRegression_avg_10,0.43333333333333335
DecisionTreeClassifier_avg_10,0.36666666666666664
RandomForestClassifier_avg_10,0.36666666666666664
XGBClassifier_avg_10,0.31666666666666665
MLPClassifier_avg_10,0.4166666666666667
GaussianNB_avg,0.36666666666666664
DecisionTreeClassifier_avg,0.35
LogisticRegression_avg,0.4
RandomForestClassifier_avg,0.36666666666666664
XGBClassifier_avg,0.4
MLPClassifier_avg,0.43333333333333335
GaussianNB_rating_rol10,0.5666666666666667
LogisticRegression_rating_rol10,0.5666666666666667
DecisionTreeClassifier_rating_rol10,0.43333333333333335
RandomForestClassifier_rating_rol10,0.5833333333333334
XGBClassifier_rating_rol10,0.6
MLPClassifier_rating_rol10,0.5333333333333333
GaussianNB_avg_rating,0.4666666666666667
LogisticRegression_avg_rating,0.43333333333333335
DecisionTreeClassifier_avg_rating,0.5
RandomForestClassifier_avg_rating,0.5
XGBClassifier_avg_rating,0.5
MLPClassifier_avg_rating,0.4666666666666667
Actual,1.0
