Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,SecondaryTourney
1989,135,1143,73,1218,57,H,0,NIT
1989,135,1163,67,1150,62,H,0,NIT
1989,135,1277,83,1245,69,H,0,NIT
1989,135,1304,81,1117,79,H,0,NIT
1989,135,1307,91,1365,76,H,0,NIT
1989,135,1326,81,1103,70,H,0,NIT
1989,135,1329,69,1129,55,H,0,NIT
1989,135,1336,89,1293,73,H,0,NIT
1989,135,1337,84,1308,69,A,0,NIT
1989,135,1350,70,1396,56,H,0,NIT
1989,135,1385,70,1279,67,H,0,NIT
1989,135,1387,87,1356,54,H,0,NIT
1989,135,1412,83,1204,74,H,0,NIT
1989,135,1437,76,1389,56,H,0,NIT
1989,135,1455,70,1364,62,H,0,NIT
1989,135,1458,63,1309,61,H,0,NIT
1989,141,1163,73,1143,72,H,0,NIT
1989,141,1277,79,1455,67,H,0,NIT
1989,141,1307,86,1337,69,H,0,NIT
1989,141,1326,85,1304,74,H,0,NIT
1989,141,1385,76,1329,64,H,0,NIT
1989,141,1387,73,1458,68,A,0,NIT
1989,141,1412,64,1350,61,A,0,NIT
1989,141,1437,76,1336,67,H,0,NIT
1989,143,1277,70,1437,63,A,0,NIT
1989,143,1385,83,1326,80,A,1,NIT
1989,143,1387,66,1307,65,A,0,NIT
1989,143,1412,85,1163,79,A,0,NIT
1989,147,1385,76,1412,65,N,0,NIT
1989,147,1387,74,1277,64,N,0,NIT
1989,150,1385,73,1387,65,N,0,NIT
1989,150,1412,78,1277,76,N,1,NIT
