TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,NFGM,NFGA,NFGM2,NFGA2,NFGM3,NFGA3,NFTM,NFTA,NOR,NDR,NAst,NTO,NStl,NBlk,NPF
1102,22.24,46.29,13.65,24.18,8.59,22.12,11.47,15.65,7.82,17.06,14.53,9.71,9.82,1.76,14.65,20.25,49.75,10.92,22.08,9.33,27.67,6.75,9.42,7.33,13.08,12.42,10.58,7.33,1.67,19.08
1103,25.94,55.28,17.67,34.61,8.28,20.67,15.28,22.17,10.39,24.33,17.83,13.33,6.39,4.0,18.5,22.7,56.7,14.8,34.1,7.9,22.6,11.4,17.1,10.1,20.8,13.0,13.4,7.4,3.6,19.4
1104,26.39,52.96,18.09,32.74,8.3,20.22,18.17,25.13,11.09,27.87,15.09,13.09,5.7,4.78,14.09,22.0,51.71,16.57,34.29,5.43,17.43,13.43,17.14,7.43,21.86,9.71,11.29,3.57,3.29,16.86
1105,24.44,58.69,18.06,37.81,6.38,20.88,17.12,28.38,12.81,26.0,15.12,14.12,11.06,4.94,19.44,22.69,59.38,16.92,39.92,5.77,19.46,13.85,22.0,13.08,22.23,10.69,16.62,10.08,2.54,19.23
1106,19.87,49.27,15.2,35.6,4.67,13.67,17.73,26.47,10.8,23.53,10.47,15.27,6.47,2.33,16.67,19.0,52.73,14.6,36.2,4.4,16.53,11.4,18.4,11.73,21.27,10.27,16.27,6.93,1.67,18.27
1107,24.85,52.77,18.31,37.46,6.54,15.31,17.0,22.69,12.0,22.92,14.46,13.77,8.77,2.46,15.31,21.4,52.4,15.47,35.07,5.93,17.33,13.53,19.47,10.27,22.47,11.87,15.67,7.4,2.4,19.0
1108,22.33,51.0,17.67,37.5,4.67,13.5,12.83,20.83,7.5,25.5,13.33,19.33,7.83,3.5,22.83,19.32,53.86,14.59,36.0,4.73,17.86,12.45,21.14,12.05,21.41,10.41,20.0,7.36,3.45,22.91
1110,25.56,52.94,18.19,35.19,7.38,17.75,14.0,19.12,10.56,27.38,15.0,15.0,7.19,3.5,16.69,22.58,54.83,17.58,38.0,5.0,16.83,9.92,14.58,9.33,22.33,10.08,15.0,5.75,1.83,19.58
1111,27.8,59.13,17.93,34.93,9.87,24.2,12.73,19.67,12.33,24.4,17.87,14.6,10.07,5.33,16.33,23.42,60.0,17.0,36.67,6.42,23.33,9.92,14.75,11.92,21.42,12.67,15.5,7.83,3.75,19.08
1112,29.63,61.33,22.74,45.11,6.89,16.22,15.81,20.11,13.33,24.15,16.74,15.0,8.37,3.7,16.19,26.83,64.17,20.17,43.5,6.67,20.67,9.0,12.5,15.5,19.33,15.83,14.17,7.67,3.0,17.67
1113,25.89,55.17,19.67,37.94,6.22,17.22,18.39,25.83,12.56,26.83,17.11,14.67,6.33,4.0,16.78,25.85,60.08,18.0,37.54,7.85,22.54,15.85,22.0,13.15,19.62,15.54,14.69,6.46,3.15,21.46
1114,23.6,49.2,19.07,37.4,4.53,11.8,16.53,22.33,10.13,23.47,13.13,14.13,6.87,3.33,17.6,22.5,54.9,17.2,39.1,5.3,15.8,13.6,19.1,10.1,20.6,11.1,16.2,5.8,2.7,22.5
1115,27.0,57.8,23.0,45.4,4.0,12.4,9.4,16.4,11.2,30.4,14.4,19.0,7.2,6.0,17.0,20.43,56.71,16.0,40.1,4.43,16.62,10.71,15.9,11.33,22.48,10.71,16.29,6.76,4.48,18.1
1116,28.28,56.39,21.83,41.5,6.44,14.89,16.0,23.78,12.0,24.17,17.0,14.5,10.0,6.0,17.28,22.0,56.42,16.5,38.0,5.5,18.42,10.92,17.0,12.75,18.17,10.75,13.83,6.83,4.0,20.25
1117,29.31,58.77,22.31,42.23,7.0,16.54,14.85,22.69,13.69,23.38,16.54,14.08,7.0,3.38,18.0,24.15,60.92,19.38,45.0,4.77,15.92,14.69,21.85,13.62,24.31,11.31,15.54,6.08,2.31,23.08
1119,19.0,50.0,15.0,34.0,4.0,16.0,21.0,28.0,7.0,26.0,8.0,6.0,8.0,2.0,19.0,18.67,47.29,12.5,29.46,6.17,17.83,10.46,13.67,6.0,20.83,11.0,15.79,4.79,1.46,16.29
1120,26.36,55.36,16.86,31.79,9.5,23.57,16.14,22.5,9.86,23.71,15.79,14.36,8.36,1.86,19.14,22.82,59.94,15.41,34.94,7.41,25.0,11.29,15.35,12.47,20.29,10.65,14.59,6.53,2.0,20.94
1122,25.62,52.69,19.0,36.77,6.62,15.92,13.08,19.31,10.08,23.23,13.92,13.31,7.31,2.85,17.62,21.47,53.84,15.89,35.79,5.58,18.05,12.95,19.0,10.95,20.05,12.21,14.95,6.58,2.21,20.37
1123,24.5,55.43,16.64,35.86,7.86,19.57,16.57,24.21,12.14,22.57,12.86,11.93,6.71,2.29,17.36,23.46,56.08,16.77,37.54,6.69,18.54,12.23,17.92,12.46,20.38,10.15,12.62,4.15,2.08,19.92
1124,26.88,53.38,19.25,34.12,7.62,19.25,16.38,23.0,12.25,21.5,16.12,17.5,9.88,2.88,16.62,20.47,50.42,12.74,28.47,7.74,21.95,11.79,17.0,9.89,14.89,11.79,15.37,6.32,1.37,18.32
1125,25.43,55.21,14.79,27.29,10.64,27.93,13.93,20.71,9.21,24.21,15.29,14.14,7.93,3.21,17.36,22.56,56.62,13.62,30.31,8.94,26.31,11.69,17.19,9.56,20.81,12.5,14.75,7.0,3.19,21.31
1126,26.31,56.85,19.85,38.54,6.46,18.31,13.85,21.77,9.92,25.85,15.62,16.15,9.62,2.77,18.46,21.71,52.88,15.29,33.82,6.41,19.06,8.0,14.29,8.88,20.41,12.0,16.47,6.94,2.18,19.82
1127,22.25,51.42,15.33,33.42,6.92,18.0,14.75,22.17,13.0,23.5,10.58,13.0,8.17,3.75,19.67,21.0,57.18,14.47,34.82,6.53,22.35,9.71,15.0,11.94,21.29,10.29,14.0,5.65,2.47,20.12
1128,22.47,47.8,15.2,28.4,7.27,19.4,16.67,23.13,9.67,24.0,11.4,13.33,5.6,2.27,18.2,18.93,47.36,12.86,28.64,6.07,18.71,15.21,21.0,10.14,21.71,9.79,13.43,4.36,2.29,21.36
1129,27.4,57.6,19.0,37.2,8.4,20.4,13.4,19.07,11.0,24.33,14.6,13.27,4.8,2.67,17.2,23.67,59.39,16.28,36.67,7.39,22.72,11.39,17.11,13.89,21.33,12.83,16.67,5.61,2.17,20.0
