Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT
2006,8,1165,75,1384,54,N,0
2006,8,1393,68,1126,37,H,0
2006,9,1107,90,1324,73,N,0
2006,9,1126,63,1384,52,N,1
2006,9,1196,80,1389,51,H,0
2006,9,1393,67,1165,62,H,0
2006,10,1196,83,1107,64,H,0
2006,10,1204,89,1339,75,N,0
2006,10,1206,79,1414,56,N,0
2006,10,1324,72,1389,69,N,0
2006,10,1403,88,1363,54,H,0
2006,10,1439,80,1347,50,H,0
2006,10,1441,56,1132,50,N,0
2006,10,1448,78,1290,64,H,0
2006,11,1363,82,1339,53,N,0
2006,11,1403,74,1204,61,H,0
2006,11,1414,94,1290,40,N,0
2006,11,1448,83,1206,78,H,1
2006,12,1132,72,1439,71,A,0
2006,12,1347,69,1441,56,N,0
2006,12,1452,88,1419,69,H,0
2006,12,1459,73,1192,62,N,0
2006,13,1102,62,1319,49,N,0
2006,13,1150,82,1164,65,N,0
2006,13,1192,74,1419,58,N,0
2006,13,1246,71,1355,54,H,0
2006,13,1252,72,1294,60,N,0
2006,13,1274,76,1426,65,N,0
2006,13,1321,61,1250,59,N,0
2006,13,1347,81,1132,63,N,0
2006,13,1423,75,1139,59,N,0
2006,13,1439,54,1441,40,H,0
2006,13,1449,118,1288,51,H,0
2006,13,1452,61,1459,41,H,0
2006,13,1453,71,1422,48,N,0
2006,13,1461,69,1106,54,H,0
2006,14,1102,57,1274,53,N,0
2006,14,1139,70,1106,61,N,0
2006,14,1159,55,1430,42,N,0
2006,14,1180,54,1343,41,A,0
2006,14,1181,64,1131,47,H,0
2006,14,1234,86,1271,41,H,0
2006,14,1246,67,1252,49,H,0
2006,14,1250,65,1164,64,N,0
2006,14,1321,61,1150,47,N,0
2006,14,1355,61,1294,59,N,0
2006,14,1358,80,1281,77,A,0
2006,14,1371,66,1264,52,H,0
2006,14,1422,62,1288,49,N,0
2006,14,1423,62,1461,59,A,1
2006,14,1426,68,1319,59,N,0
2006,14,1449,87,1453,54,H,0
2006,15,1104,64,1275,58,H,0
2006,15,1106,68,1164,67,N,0
2006,15,1139,66,1250,41,N,0
2006,15,1234,73,1159,51,H,0
2006,15,1271,75,1430,72,N,1
2006,15,1272,79,1454,52,H,0
2006,15,1274,80,1453,54,N,0
