Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2006,8,1165,75,1384,54,N,0,24,54,6,16,21,24,12,34,15,13,5,2,17,19,59,5,20,11,17,11,19,11,12,5,4,18
2006,8,1393,68,1126,37,H,0,21,44,6,16,20,31,12,31,15,24,13,6,17,15,56,3,13,4,9,12,19,10,23,13,1,24
2006,9,1107,90,1324,73,N,0,35,62,13,19,7,8,11,21,21,19,6,3,13,27,62,12,25,7,12,18,16,13,18,11,7,15
2006,9,1126,63,1384,52,N,1,22,59,8,17,11,14,4,33,12,9,10,0,18,18,66,4,26,12,19,20,35,11,17,3,4,16
2006,9,1196,80,1389,51,H,0,29,54,9,21,13,21,9,31,19,11,9,6,14,20,63,8,18,3,8,16,22,10,17,4,0,20
2006,9,1393,67,1165,62,H,0,23,57,1,19,20,30,18,26,12,13,13,9,15,19,54,11,23,13,20,14,23,14,19,4,1,22
2006,10,1196,83,1107,64,H,0,30,51,10,21,13,24,10,19,23,12,9,2,18,23,47,9,22,9,14,7,18,12,19,6,0,23
2006,10,1204,89,1339,75,N,0,31,62,7,16,20,29,15,28,17,18,7,4,26,25,63,4,8,21,27,13,23,10,14,10,2,24
2006,10,1206,79,1414,56,N,0,31,57,10,20,7,15,9,33,15,14,9,5,23,18,56,2,18,18,25,11,20,7,15,7,1,14
2006,10,1324,72,1389,69,N,0,26,60,4,13,16,25,19,28,10,21,10,3,13,26,65,9,27,8,11,12,22,16,17,12,4,16
2006,10,1403,88,1363,54,H,0,30,57,9,16,19,26,10,33,18,12,1,3,14,24,70,1,10,5,7,15,23,7,11,7,1,18
2006,10,1439,80,1347,50,H,0,29,48,5,12,17,26,7,26,19,17,11,6,23,16,52,3,20,15,24,16,17,3,24,5,5,22
2006,10,1441,56,1132,50,N,0,13,45,3,20,27,42,14,27,8,19,6,3,20,19,52,4,13,8,17,12,22,9,17,4,1,32
2006,10,1448,78,1290,64,H,0,29,44,5,7,15,25,5,31,16,19,2,5,14,23,61,9,24,9,16,10,16,16,9,5,2,22
2006,11,1363,82,1339,53,N,0,28,56,1,6,25,31,13,28,12,12,10,5,22,19,54,5,12,10,19,12,17,9,18,7,1,18
2006,11,1403,74,1204,61,H,0,29,53,2,9,14,18,9,31,19,19,3,1,14,25,64,6,21,5,9,12,16,15,14,10,2,17
2006,11,1414,94,1290,40,N,0,37,58,12,19,8,14,14,26,29,10,10,5,15,17,54,5,20,1,3,13,11,9,18,4,1,17
2006,11,1448,83,1206,78,H,1,28,47,5,12,22,34,8,32,15,20,4,4,17,29,68,8,28,12,21,13,20,15,11,9,0,25
2006,12,1132,72,1439,71,A,0,24,53,6,14,18,22,11,21,14,15,4,0,28,22,48,4,12,23,35,8,20,14,12,7,9,17
2006,12,1347,69,1441,56,N,0,22,48,2,14,23,26,9,19,10,15,12,4,17,18,51,7,23,13,14,13,18,9,22,8,1,23
2006,12,1452,88,1419,69,H,0,33,65,10,31,12,17,12,23,21,8,9,1,13,24,53,10,21,11,17,10,24,12,18,5,0,18
