TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGMA,FGAA,FGM2A,FGA2A,FGM3A,FGA3A,FTMA,FTAA,ORA,DRA,AstA,TOA,StlA,BlkA,PFA,IMS,SEL
1102,18.54,42.39,11.43,23.46,7.11,18.93,13.39,19.29,5.25,21.36,11.93,12.68,6.18,1.79,17.18,19.11,46.96,11.54,26.0,7.57,20.96,11.54,16.61,9.39,21.86,12.07,13.57,5.86,2.75,19.0,154.08333333333334,179.75
1103,23.85,53.76,15.48,32.03,8.36,21.73,15.18,21.45,11.18,20.24,13.45,12.76,7.06,2.79,19.58,22.73,50.85,17.42,34.79,5.3,16.06,13.03,19.03,10.45,21.58,11.73,16.12,5.55,2.85,19.0,72.66666666666667,72.25
1104,27.79,60.91,20.76,41.52,7.03,19.39,12.67,20.42,13.58,24.61,15.61,13.0,7.45,4.48,16.76,25.39,58.39,17.58,36.36,7.82,22.03,14.24,19.82,11.55,23.64,13.7,14.15,6.91,3.3,18.06,97.0,93.5
1105,21.5,56.5,15.5,38.27,6.0,18.23,15.19,22.12,12.65,22.58,9.62,16.04,7.19,5.65,18.81,23.31,54.92,17.88,39.46,5.42,15.46,15.54,22.27,12.77,25.73,12.92,18.38,8.65,5.46,19.23,301.4166666666667,335.25
1106,26.22,57.37,19.85,39.33,6.37,18.04,12.19,18.85,11.93,25.67,14.48,13.22,5.81,3.78,19.11,23.0,55.93,17.3,39.59,5.7,16.33,13.74,21.44,10.96,22.33,11.67,12.04,5.37,3.11,18.59,204.0,245.75
1107,24.07,55.0,18.33,38.4,5.73,16.6,14.4,19.83,12.43,25.03,12.33,14.27,5.33,2.43,20.47,22.37,52.13,15.6,33.33,6.77,18.8,14.9,21.37,8.5,21.67,11.8,12.57,6.23,3.73,19.03,214.33333333333334,213.5
1108,23.52,56.69,17.52,39.31,6.0,17.38,14.0,20.24,11.59,20.97,9.52,17.17,6.48,1.55,21.9,27.55,55.62,21.83,40.97,5.72,14.66,17.86,26.1,10.41,24.52,12.52,14.76,7.72,3.41,18.28,337.9166666666667,338.25
1110,21.16,47.78,13.31,28.62,7.84,19.16,14.94,20.09,9.47,22.56,11.91,13.62,4.59,2.62,17.53,20.72,50.22,14.47,32.44,6.25,17.78,14.09,19.09,9.78,19.84,11.28,12.12,6.22,3.81,18.56,132.25,177.0
1111,25.2,53.2,17.63,33.57,7.57,19.63,13.1,19.13,9.83,24.97,13.5,15.13,6.1,4.73,17.23,24.7,59.23,17.5,38.7,7.2,20.53,12.4,18.43,12.67,21.73,12.2,12.57,6.6,2.33,18.23,134.66666666666666,156.0
1112,24.72,51.97,18.12,35.31,6.59,16.66,15.53,20.91,8.34,22.69,15.34,12.22,5.62,3.59,16.5,24.62,56.41,19.31,40.62,5.31,15.78,12.22,17.41,11.47,21.47,12.97,12.56,5.03,2.69,18.44,27.75,23.0
