TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGMA,FGAA,FGM2A,FGA2A,FGM3A,FGA3A,FTMA,FTAA,ORA,DRA,AstA,TOA,StlA,BlkA,PFA,BOB,BPI,CPA,CPR,DOK,DUN,LYN,MB,MOR,REI,REW,RTB,RTH,SAG,SE,SEL,SPW,STH,TOL,WIL,WOL
1102,19.17,44.07,12.66,26.48,6.52,17.59,12.55,18.62,6.93,20.9,11.9,13.55,5.07,2.17,17.79,20.17,47.86,12.83,26.66,7.34,21.21,14.62,19.83,9.1,21.45,12.59,11.59,6.31,3.52,18.38,198.92857142857142,220.25,229.0,254.0,205.38888888888889,195.07692307692307,214.6,212.5,161.68421052631578,221.11111111111111,247.45454545454547,212.25,220.7,207.16666666666666,226.22222222222223,222.6,227.7,231.0,173.83333333333334,206.57142857142858,266.0
1103,22.59,54.26,15.47,32.65,7.12,21.62,14.12,19.74,11.74,21.35,12.12,13.74,7.65,2.26,20.62,20.09,49.76,15.26,33.32,4.82,16.44,15.5,22.41,12.15,22.26,9.76,17.62,7.53,2.38,18.88,111.35714285714286,126.25,101.0,117.0,91.77777777777777,107.53846153846153,117.53333333333333,138.85714285714286,106.47368421052632,90.22222222222223,122.9090909090909,104.9375,129.2,96.22222222222223,113.05555555555556,131.1,125.7,107.5,124.66666666666667,133.57142857142858,120.9
1104,25.97,59.43,21.13,44.8,4.83,14.63,16.07,22.8,14.03,25.73,11.17,14.8,7.0,4.67,17.33,25.6,62.1,18.83,40.37,6.77,21.73,13.37,19.7,14.5,22.8,13.73,14.07,7.27,4.43,19.03,100.92857142857143,104.91666666666667,87.0,95.0,116.11111111111111,82.3076923076923,107.73333333333333,105.14285714285714,82.78947368421052,118.0,101.54545454545455,109.5,94.7,117.0,127.05555555555556,98.1,121.4,99.5,117.0,110.0,125.9
1105,22.29,57.29,17.79,40.5,4.5,16.79,14.92,22.67,12.29,22.29,10.67,16.21,8.04,3.46,20.33,25.79,57.0,20.88,42.21,4.92,14.79,15.58,23.96,13.92,27.12,13.75,18.29,8.62,3.92,19.54,309.92857142857144,332.3333333333333,341.0,339.0,336.44444444444446,330.38461538461536,298.73333333333335,340.85714285714283,307.89473684210526,342.8888888888889,322.09090909090907,310.4,342.1,318.77777777777777,308.72222222222223,340.5,299.0,339.5,281.8333333333333,338.07142857142856,340.2
1106,25.55,54.93,19.86,37.62,5.69,17.31,12.69,20.03,11.41,24.72,14.0,13.76,5.76,4.76,17.62,22.93,58.41,18.1,42.21,4.83,16.21,12.9,19.52,13.62,21.38,10.52,12.93,6.62,2.66,18.17,231.64285714285714,212.75,212.0,250.0,239.22222222222223,255.15384615384616,189.66666666666666,267.2857142857143,233.42105263157896,243.44444444444446,197.54545454545453,227.25,272.8,240.5,256.77777777777777,234.5,224.0,248.5,273.6666666666667,260.35714285714283,236.7
1107,23.06,55.26,18.87,41.0,4.19,14.26,13.68,19.03,13.71,25.19,11.84,15.29,5.16,2.03,20.19,22.29,51.61,16.13,32.42,6.16,19.19,15.0,22.45,8.42,21.81,12.52,12.39,7.42,3.87,18.48,181.5,160.0,238.0,223.0,193.5,225.15384615384616,187.13333333333333,179.42857142857142,192.68421052631578,193.0,182.9090909090909,175.75,205.6,178.77777777777777,168.33333333333334,187.7,158.4,199.9,141.33333333333334,170.42857142857142,171.7
1108,24.04,60.82,17.64,41.86,6.39,18.96,14.82,21.96,9.86,21.29,10.61,15.07,8.39,1.71,19.46,30.75,63.89,23.86,43.75,6.89,20.14,16.18,23.96,13.96,29.5,17.18,15.29,7.86,3.82,18.32,345.7142857142857,344.25,345.0,346.0,341.94444444444446,343.9230769230769,344.46666666666664,343.42857142857144,342.7894736842105,346.6666666666667,343.45454545454544,340.9375,346.1,343.6666666666667,342.55555555555554,345.8,343.3,345.4,342.0,342.2142857142857,345.3
1110,23.35,50.06,16.26,31.23,7.1,18.84,10.65,16.42,9.52,23.45,13.06,13.23,5.42,2.52,17.94,20.0,50.74,14.42,33.84,5.58,16.9,12.84,17.87,9.74,20.32,10.32,12.81,6.03,3.03,17.42,134.78571428571428,118.83333333333333,129.0,113.0,147.22222222222223,139.07692307692307,176.6,128.07142857142858,138.26315789473685,136.33333333333334,110.27272727272727,129.4375,136.5,135.77777777777777,124.0,121.7,109.5,153.6,135.16666666666666,128.57142857142858,92.8
1111,25.43,56.83,17.97,36.6,7.47,20.23,16.47,23.37,13.07,25.67,12.67,17.7,6.03,3.33,20.2,26.97,59.1,20.1,39.8,6.87,19.3,17.0,23.9,10.17,21.9,13.2,12.33,8.83,4.13,19.9,230.14285714285714,231.08333333333334,258.0,247.0,228.22222222222223,239.0,246.8,229.21428571428572,202.94736842105263,241.55555555555554,232.36363636363637,255.5625,251.9,220.83333333333334,209.83333333333334,248.7,239.1,253.4,198.66666666666666,222.71428571428572,240.9
1112,25.66,54.06,19.47,38.41,6.19,15.66,14.69,20.0,11.09,22.75,14.44,12.59,5.97,3.06,15.62,25.06,57.53,16.75,34.12,8.31,23.41,10.0,14.62,11.81,19.62,15.66,11.88,5.31,2.31,17.88,52.57142857142857,51.583333333333336,35.0,30.0,53.388888888888886,33.69230769230769,52.4,49.142857142857146,36.26315789473684,45.333333333333336,61.81818181818182,63.8125,43.3,47.333333333333336,53.388888888888886,46.9,74.7,45.1,73.16666666666667,57.42857142857143,55.9
1113,23.79,49.39,15.7,27.3,8.09,22.09,13.88,18.76,8.42,22.91,15.61,11.52,5.91,2.09,15.91,21.24,52.0,15.27,32.97,5.97,19.03,11.61,15.82,10.0,19.76,11.91,12.12,5.94,1.97,17.52,21.785714285714285,21.0,19.0,26.0,21.944444444444443,17.76923076923077,12.933333333333334,23.642857142857142,17.05263157894737,15.11111111111111,23.636363636363637,26.875,20.9,26.0,30.666666666666668,18.2,30.1,14.8,28.833333333333332,23.214285714285715,25.6
1114,22.94,51.26,17.81,36.9,5.13,14.35,15.42,23.0,10.81,24.0,13.03,15.03,5.52,3.48,19.61,21.39,53.19,15.9,36.0,5.48,17.19,15.1,21.52,11.03,21.55,11.87,14.0,5.23,3.13,19.61,127.0,99.75,133.0,97.0,162.5,160.6153846153846,121.0,108.71428571428571,142.6315789473684,165.0,85.45454545454545,175.125,123.6,132.11111111111111,108.33333333333333,108.0,87.7,159.2,95.0,106.42857142857143,97.5
1115,22.87,57.03,18.87,43.13,4.0,13.9,12.94,20.94,14.39,23.65,10.94,19.52,8.74,2.71,22.68,23.29,54.0,18.06,38.35,5.23,15.65,18.84,28.23,12.52,24.48,12.94,16.94,9.48,3.9,19.19,274.85714285714283,276.8333333333333,315.0,329.0,322.5,326.9230769230769,333.8666666666667,294.14285714285717,331.7368421052632,326.55555555555554,284.72727272727275,310.5,324.3,303.8333333333333,280.44444444444446,299.3,271.8,312.2,269.3333333333333,291.7857142857143,304.8
1116,26.57,60.7,19.83,40.43,6.73,20.27,14.73,22.63,12.7,24.93,13.0,13.97,7.57,2.87,17.17,26.53,59.7,18.4,37.67,8.13,22.03,12.57,18.93,11.23,24.73,15.97,15.17,6.23,5.03,19.07,93.07142857142857,81.25,113.0,123.0,102.33333333333333,84.46153846153847,86.46666666666667,79.42857142857143,91.36842105263158,93.66666666666667,73.45454545454545,108.6875,84.1,84.66666666666667,76.44444444444444,93.4,78.6,94.5,73.66666666666667,88.57142857142857,100.1
1117,23.5,55.86,18.82,40.96,4.68,14.89,12.61,18.68,11.57,24.57,13.0,13.61,6.5,3.68,17.07,23.5,55.46,17.71,39.57,5.79,15.89,12.61,17.79,10.5,24.29,11.61,13.29,5.39,2.79,17.36,173.0,175.58333333333334,230.0,239.0,174.11111111111111,225.46153846153845,143.26666666666668,177.78571428571428,241.6315789473684,173.55555555555554,176.36363636363637,203.8125,198.5,164.77777777777777,156.83333333333334,199.2,167.1,174.5,114.0,174.64285714285714,182.5
1119,21.47,51.1,16.67,36.87,4.8,14.23,10.3,14.93,7.9,21.3,13.2,15.3,7.47,2.5,19.27,20.63,49.53,13.97,29.8,6.67,19.73,12.83,19.0,10.97,23.93,12.17,17.67,6.77,3.63,17.7,317.14285714285717,320.9166666666667,288.0,288.0,303.55555555555554,287.46153846153845,272.2,313.2857142857143,269.3157894736842,301.8888888888889,311.54545454545456,289.125,309.3,314.1666666666667,318.05555555555554,317.4,299.3,307.0,318.5,313.92857142857144,309.1
