Season,Slot,StrongSeed,WeakSeed
2012,R1W1,W01,W16
2012,R1W2,W02,W15
2012,R1W3,W03,W14
2012,R1W4,W04,W13
2012,R1W5,W05,W12
2012,R1W6,W06,W11
2012,R1W7,W07,W10
2012,R1W8,W08,W09
2012,R1X1,X01,X16
2012,R1X2,X02,X15
2012,R1X3,X03,X14
2012,R1X4,X04,X13
2012,R1X5,X05,X12
2012,R1X6,X06,X11
2012,R1X7,X07,X10
2012,R1X8,X08,X09
2012,R1Y1,Y01,Y16
2012,R1Y2,Y02,Y15
2012,R1Y3,Y03,Y14
2012,R1Y4,Y04,Y13
2012,R1Y5,Y05,Y12
2012,R1Y6,Y06,Y11
2012,R1Y7,Y07,Y10
2012,R1Y8,Y08,Y09
2012,R1Z1,Z01,Z16
2012,R1Z2,Z02,Z15
2012,R1Z3,Z03,Z14
2012,R1Z4,Z04,Z13
2012,R1Z5,Z05,Z12
2012,R1Z6,Z06,Z11
2012,R1Z7,Z07,Z10
2012,R1Z8,Z08,Z09
2012,R2W1,R1W1,R1W8
2012,R2W2,R1W2,R1W7
2012,R2W3,R1W3,R1W6
2012,R2W4,R1W4,R1W5
2012,R2X1,R1X1,R1X8
2012,R2X2,R1X2,R1X7
2012,R2X3,R1X3,R1X6
2012,R2X4,R1X4,R1X5
2012,R2Y1,R1Y1,R1Y8
2012,R2Y2,R1Y2,R1Y7
2012,R2Y3,R1Y3,R1Y6
2012,R2Y4,R1Y4,R1Y5
2012,R2Z1,R1Z1,R1Z8
2012,R2Z2,R1Z2,R1Z7
2012,R2Z3,R1Z3,R1Z6
2012,R2Z4,R1Z4,R1Z5
2012,R3W1,R2W1,R2W4
2012,R3W2,R2W2,R2W3
2012,R3X1,R2X1,R2X4
2012,R3X2,R2X2,R2X3
2012,R3Y1,R2Y1,R2Y4
2012,R3Y2,R2Y2,R2Y3
2012,R3Z1,R2Z1,R2Z4
2012,R3Z2,R2Z2,R2Z3
2012,R4W1,R3W1,R3W2
2012,R4X1,R3X1,R3X2
2012,R4Y1,R3Y1,R3Y2
2012,R4Z1,R3Z1,R3Z2
2012,R5WX,R4W1,R4X1
2012,R5YZ,R4Y1,R4Z1
2012,R6CH,R5WX,R5YZ
2012,X12,X12a,X12b
2012,X16,X16a,X16b
2012,Y16,Y16a,Y16b
2012,Z14,Z14a,Z14b
