TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGMA,FGAA,FGM2A,FGA2A,FGM3A,FGA3A,FTMA,FTAA,ORA,DRA,AstA,TOA,StlA,BlkA,PFA,BBT,BIH,BNM,BOB,BUR,CNG,COL,CPA,CPR,CRO,DC,DOK,DOL,DUN,EBB,HAT,HKB,KOS,KPK,KRA,LMC,LYN,MAS,MB,MOR,POM,REI,REW,ROG,RT,RTB,RTH,SAG,SE,SEL,SFX,SPW,STH,TMR,TW,WIL,WLK,WOB,WOL
1102,20.89,47.0,14.63,28.22,6.26,18.78,12.63,18.52,5.85,22.3,13.37,13.0,6.26,2.96,17.0,21.26,50.96,14.41,29.74,6.85,21.22,13.89,19.44,10.26,23.74,12.89,13.59,6.78,2.67,18.07,160.66666666666666,164.66666666666666,135.8,152.42857142857142,152.83333333333334,170.2,158.5,174.375,119.75,192.25,178.8,170.11111111111111,173.78571428571428,151.9375,168.0,119.0909090909091,162.0,165.41666666666666,158.8125,149.71428571428572,179.0,164.0,165.73684210526315,146.5,153.31578947368422,175.57894736842104,164.72727272727272,142.42857142857142,152.0,174.94117647058823,142.0,139.78571428571428,174.52631578947367,167.66666666666666,146.36363636363637,185.83333333333334,150.33333333333334,155.0,157.05263157894737,117.33333333333333,148.3846153846154,157.25,155.0,165.5
1103,25.09,54.41,19.19,38.28,5.91,16.12,15.38,22.25,11.28,23.75,13.72,14.34,7.31,4.31,18.31,23.66,56.47,18.88,40.09,4.78,16.38,13.53,19.5,11.91,21.56,12.06,14.28,6.5,3.44,18.91,52.44444444444444,104.66666666666667,98.6,97.85714285714286,69.75,67.9,80.875,64.25,130.375,57.5,69.8,73.77777777777777,89.71428571428571,87.1875,199.0,87.72727272727273,116.18181818181819,90.16666666666667,94.0,83.28571428571429,73.08333333333333,86.66666666666667,77.52631578947368,100.375,89.36842105263158,81.47368421052632,77.36363636363636,83.57142857142857,88.42857142857143,79.47058823529412,105.86666666666666,86.21428571428571,79.47368421052632,82.66666666666667,87.0,60.0,69.0,61.9,68.05263157894737,139.33333333333334,93.23076923076923,69.41666666666667,80.71428571428571,78.28571428571429
1104,23.62,52.31,19.59,38.16,4.03,14.16,13.66,19.09,10.81,24.38,12.28,12.94,7.31,4.16,18.41,20.12,51.91,15.28,34.81,4.84,17.09,13.03,20.03,11.44,21.09,10.28,13.59,5.53,3.59,16.5,32.0,33.111111111111114,23.6,19.642857142857142,27.5,24.4,35.875,23.5,34.625,54.0,33.0,27.444444444444443,34.214285714285715,27.6875,22.0,28.636363636363637,21.09090909090909,36.5,24.25,36.42857142857143,25.583333333333332,26.333333333333332,30.894736842105264,28.8125,25.210526315789473,21.894736842105264,23.363636363636363,44.142857142857146,40.142857142857146,26.823529411764707,25.266666666666666,27.5,24.526315789473685,33.22222222222222,25.727272727272727,35.833333333333336,46.77777777777778,26.3,31.05263157894737,41.55555555555556,31.692307692307693,22.333333333333332,34.285714285714285,38.42857142857143
1105,21.69,53.88,16.42,37.23,5.27,16.65,12.46,19.12,10.92,22.54,10.62,16.27,6.15,4.0,22.46,23.38,52.27,18.73,39.0,4.65,13.27,18.23,27.65,11.42,24.92,10.73,14.04,7.73,4.19,17.35,330.0,313.8888888888889,314.0,319.14285714285717,335.1666666666667,335.3,336.125,332.0,339.875,318.0,330.6,329.5,323.07142857142856,334.6875,257.0,321.54545454545456,312.0,334.5,315.625,336.14285714285717,328.5,338.3333333333333,333.8421052631579,316.9375,331.5263157894737,332.1578947368421,336.45454545454544,323.7142857142857,328.0,287.88235294117646,293.73333333333335,339.07142857142856,305.6842105263158,293.55555555555554,336.54545454545456,336.3333333333333,334.3333333333333,336.6,314.42105263157896,334.8888888888889,330.6923076923077,336.25,335.57142857142856,308.42857142857144
1106,20.48,54.93,14.48,35.0,6.0,19.93,10.76,18.72,12.72,22.14,11.14,14.97,7.48,3.03,19.86,22.52,51.48,18.03,36.21,4.48,15.28,14.03,21.45,10.93,26.28,13.1,15.59,7.55,4.28,18.24,302.55555555555554,305.6666666666667,314.73333333333335,316.35714285714283,322.5,315.2,305.0,309.5,329.125,286.75,292.4,302.55555555555554,304.7142857142857,312.625,282.0,296.0,318.1818181818182,317.8333333333333,308.75,315.85714285714283,308.8333333333333,314.3333333333333,311.2631578947368,311.3125,301.2105263157895,321.05263157894734,325.0,295.7142857142857,299.42857142857144,322.8235294117647,305.26666666666665,318.7142857142857,311.94736842105266,304.05555555555554,307.72727272727275,314.0,303.77777777777777,308.9,309.4736842105263,320.6666666666667,303.6923076923077,323.5833333333333,311.2857142857143,290.85714285714283
1107,24.73,55.52,17.67,35.85,7.06,19.67,15.42,20.45,11.88,22.91,12.3,12.52,5.52,2.82,16.97,25.55,56.18,18.36,36.94,7.18,19.24,10.27,15.58,10.97,21.58,13.73,12.94,5.55,3.06,18.27,183.11111111111111,195.88888888888889,193.6,210.0,227.41666666666666,199.7,204.5,203.25,275.5,151.0,216.6,209.11111111111111,194.64285714285714,219.3125,144.0,199.0909090909091,201.1818181818182,183.41666666666666,217.25,230.42857142857142,183.08333333333334,224.0,211.52631578947367,232.375,195.52631578947367,201.47368421052633,196.54545454545453,240.14285714285714,158.28571428571428,194.7058823529412,236.0,207.92857142857142,217.31578947368422,234.72222222222223,210.27272727272728,192.0,184.33333333333334,196.7,221.89473684210526,255.88888888888889,237.76923076923077,201.0,228.71428571428572,174.92857142857142
1108,21.25,52.25,17.25,38.79,4.0,13.46,13.5,19.57,8.86,20.86,9.29,15.96,6.61,3.32,19.64,23.82,55.07,18.5,39.0,5.32,16.07,16.0,24.54,13.39,24.14,12.11,14.93,8.11,4.43,18.07,330.1111111111111,326.55555555555554,331.06666666666666,327.2857142857143,336.9166666666667,341.2,328.0,340.25,338.875,322.25,323.6,339.05555555555554,333.07142857142856,337.9375,326.5,314.90909090909093,334.0,340.0833333333333,334.125,333.57142857142856,338.9166666666667,340.0,338.8421052631579,328.4375,338.0,339.89473684210526,340.54545454545456,321.42857142857144,328.57142857142856,314.88235294117646,313.06666666666666,337.14285714285717,334.36842105263156,326.05555555555554,334.72727272727275,331.1666666666667,327.22222222222223,329.6,331.63157894736844,312.22222222222223,335.7692307692308,335.6666666666667,331.42857142857144,331.2857142857143
1110,22.23,51.9,15.13,34.19,7.1,17.71,12.9,18.0,8.45,23.9,12.61,11.1,4.45,2.74,17.19,21.9,53.77,16.35,35.65,5.55,18.13,12.35,17.97,10.42,23.45,11.16,11.0,5.68,2.71,18.06,161.22222222222223,154.44444444444446,169.06666666666666,186.64285714285714,179.91666666666666,195.2,158.0,200.75,150.75,122.75,163.2,194.38888888888889,149.71428571428572,194.625,64.0,184.1818181818182,169.9090909090909,152.91666666666666,180.4375,170.14285714285714,192.16666666666666,137.66666666666666,170.8421052631579,177.0,223.94736842105263,207.57894736842104,194.63636363636363,160.28571428571428,136.0,195.94117647058823,177.26666666666668,188.14285714285714,182.05263157894737,160.5,176.9090909090909,166.5,139.55555555555554,185.4,171.57894736842104,155.22222222222223,177.76923076923077,184.91666666666666,169.71428571428572,141.57142857142858
1111,23.59,53.59,17.07,34.66,6.52,18.93,13.55,20.55,10.28,23.86,11.76,14.17,5.52,3.69,19.69,25.31,57.1,20.17,40.97,5.14,16.14,15.14,22.69,11.48,23.48,12.52,10.9,6.86,2.59,17.97,246.22222222222223,254.33333333333334,250.8,252.64285714285714,233.41666666666666,240.4,244.75,249.0,234.25,249.0,256.4,252.44444444444446,239.57142857142858,244.0625,233.0,259.0,257.0,233.0,248.375,246.0,243.16666666666666,265.0,245.73684210526315,254.625,201.52631578947367,232.68421052631578,234.1818181818182,232.85714285714286,241.85714285714286,252.35294117647058,231.06666666666666,255.35714285714286,239.57894736842104,238.61111111111111,249.54545454545453,218.16666666666666,232.44444444444446,241.8,236.8421052631579,239.55555555555554,252.15384615384616,238.75,247.42857142857142,245.78571428571428
1112,22.88,51.88,15.47,32.38,7.41,19.5,16.29,23.18,10.09,25.47,13.53,12.47,5.62,3.5,16.79,22.91,56.47,18.12,39.38,4.79,17.09,12.06,18.29,10.88,22.56,11.47,11.82,5.71,3.06,19.06,52.44444444444444,63.55555555555556,66.6,50.57142857142857,56.833333333333336,46.6,61.875,45.125,75.625,52.0,58.4,49.44444444444444,60.5,34.0,73.0,49.36363636363637,49.0,60.583333333333336,49.375,59.285714285714285,49.416666666666664,54.0,49.473684210526315,55.0625,39.21052631578947,45.1578947368421,48.54545454545455,78.28571428571429,66.14285714285714,45.05882352941177,58.6,50.42857142857143,50.526315789473685,60.388888888888886,54.81818181818182,28.333333333333332,71.66666666666667,51.4,53.8421052631579,57.77777777777778,56.15384615384615,50.583333333333336,57.57142857142857,73.5
