Season,DayNum,team_1,team_2,team_1_won,team_1_FGM,team_1_FGA,team_1_FGM2,team_1_FGA2,team_1_FGM3,team_1_FGA3,team_1_FTM,team_1_FTA,team_1_OR,team_1_DR,team_1_Ast,team_1_TO,team_1_Stl,team_1_Blk,team_1_PF,team_1_FGMA,team_1_FGAA,team_1_FGM2A,team_1_FGA2A,team_1_FGM3A,team_1_FGA3A,team_1_FTMA,team_1_FTAA,team_1_ORA,team_1_DRA,team_1_AstA,team_1_TOA,team_1_StlA,team_1_BlkA,team_1_PFA,team_2_FGM,team_2_FGA,team_2_FGM2,team_2_FGA2,team_2_FGM3,team_2_FGA3,team_2_FTM,team_2_FTA,team_2_OR,team_2_DR,team_2_Ast,team_2_TO,team_2_Stl,team_2_Blk,team_2_PF,team_2_FGMA,team_2_FGAA,team_2_FGM2A,team_2_FGA2A,team_2_FGM3A,team_2_FGA3A,team_2_FTMA,team_2_FTAA,team_2_ORA,team_2_DRA,team_2_AstA,team_2_TOA,team_2_StlA,team_2_BlkA,team_2_PFA
2013,134,1251,1299,0,22.69,53.84,15.91,35.38,6.78,18.47,15.22,20.75,10.06,24.81,11.62,13.31,5.12,2.91,18.91,24.62,58.0,18.78,38.81,5.84,19.19,15.69,22.34,12.16,24.28,12.72,10.12,6.66,3.69,18.16,20.56,51.91,14.76,32.71,5.79,19.21,14.71,22.41,10.65,24.44,10.91,15.06,6.82,4.53,19.41,20.35,52.97,13.91,32.74,6.44,20.24,14.26,21.88,12.24,24.59,11.68,15.82,6.38,3.68,18.79
2013,134,1292,1388,0,25.03,54.03,19.67,39.85,5.36,14.18,15.82,22.82,12.15,24.67,14.15,13.79,7.09,3.79,20.61,19.79,50.24,15.06,34.27,4.73,15.97,13.48,21.33,10.09,20.7,9.18,15.85,6.61,2.88,19.85,26.06,55.25,18.22,34.22,7.84,21.03,14.91,20.41,11.94,24.88,14.5,11.94,6.03,2.97,17.53,21.78,52.0,16.25,37.0,5.53,15.0,14.22,19.56,8.28,20.16,10.47,11.53,6.22,2.44,17.78
2013,135,1241,1254,1,22.53,53.62,16.79,36.41,5.74,17.21,14.38,20.53,10.0,22.71,11.74,11.18,7.88,4.5,17.15,22.0,51.5,15.85,33.94,6.15,17.56,14.21,20.5,9.97,24.26,12.56,13.82,5.32,3.15,16.85,27.09,56.03,19.73,36.91,7.36,19.12,17.91,25.97,11.79,23.61,15.27,14.39,6.82,3.52,17.73,28.24,60.3,21.36,41.85,6.88,18.45,13.03,19.24,11.79,21.79,15.21,13.03,7.0,3.52,21.36
2013,135,1129,1247,0,24.79,55.31,17.28,35.86,7.52,19.45,13.97,18.66,9.72,23.21,12.38,12.28,6.62,1.66,19.28,22.34,50.41,15.97,31.69,6.38,18.72,15.38,21.59,7.59,22.62,12.66,13.38,6.03,3.07,17.55,25.73,57.4,18.13,36.9,7.6,20.5,13.37,18.1,10.1,21.6,14.37,11.7,8.07,3.57,15.3,25.4,55.73,21.33,42.13,4.07,13.6,11.1,15.97,10.6,24.07,12.8,14.87,6.03,3.73,16.0
2013,136,1112,1125,1,25.03,55.66,17.38,34.56,7.66,21.09,15.56,20.81,11.53,24.72,13.84,13.09,6.94,3.91,16.34,22.69,54.62,16.72,38.03,5.97,16.59,12.34,17.53,9.22,21.03,11.19,13.78,6.16,3.38,17.88,27.63,55.97,19.33,33.87,8.3,22.1,13.33,18.13,9.37,22.83,15.8,13.57,9.53,2.73,18.2,22.1,53.47,15.6,33.73,6.5,19.73,13.93,19.73,11.73,21.47,11.9,17.1,6.7,3.9,18.07
2013,136,1137,1139,0,24.09,52.91,19.47,40.06,4.62,12.84,14.44,19.34,9.03,27.12,13.44,9.44,3.5,4.06,14.66,20.75,54.78,15.53,37.91,5.22,16.88,10.97,15.72,8.66,21.5,10.12,8.94,4.53,2.28,17.59,23.94,53.36,17.39,34.3,6.55,19.06,14.0,20.33,11.61,24.88,12.88,13.27,5.67,2.3,18.06,22.24,53.24,16.82,36.85,5.42,16.39,13.61,19.45,8.76,20.42,10.76,11.24,6.7,3.12,18.24
2013,136,1143,1424,1,25.32,56.77,21.29,43.52,4.03,13.26,12.87,17.74,10.97,26.23,14.06,12.55,5.77,4.74,16.32,23.1,58.39,17.32,41.23,5.77,17.16,12.42,17.9,11.55,22.45,11.84,11.06,5.9,3.03,16.74,24.94,57.12,18.45,37.3,6.48,19.82,14.73,20.85,11.76,28.09,16.0,14.06,7.18,5.82,16.94,22.79,58.45,16.91,39.7,5.88,18.76,12.12,17.36,10.52,23.33,11.39,12.85,6.58,2.39,18.03
2013,136,1161,1281,1,24.94,56.29,19.81,40.94,5.13,15.35,17.26,24.35,14.45,25.52,12.84,10.71,4.65,1.81,17.06,21.87,52.29,15.19,32.61,6.68,19.68,13.13,19.16,7.74,20.16,9.61,10.84,5.03,3.32,20.74,27.27,59.33,20.97,40.79,6.3,18.55,15.39,20.82,13.7,27.73,13.94,13.24,6.76,3.52,16.45,23.85,59.52,16.97,38.61,6.88,20.91,11.61,17.12,10.94,20.91,11.09,12.0,6.52,3.33,17.94
2013,136,1211,1380,1,27.31,54.78,21.09,37.72,6.22,17.06,15.97,22.44,11.47,25.62,14.84,11.16,7.88,2.78,15.91,20.94,54.81,14.31,34.0,6.62,20.81,11.0,16.19,11.09,19.16,9.81,13.59,6.28,3.0,19.97,22.66,52.9,16.03,34.69,6.62,18.21,14.66,21.31,8.83,25.72,10.76,11.0,7.03,4.0,17.48,20.31,54.66,15.45,38.21,4.86,16.45,12.93,19.24,11.59,24.21,8.45,13.28,5.0,3.03,17.28
2013,136,1217,1307,1,22.7,47.04,16.33,31.15,6.37,15.89,17.15,23.7,7.15,21.96,13.07,13.67,7.37,4.15,15.11,23.67,53.41,18.7,38.22,4.96,15.19,11.93,16.41,10.15,20.26,11.81,13.63,6.22,3.33,19.74,21.97,51.74,15.56,33.65,6.41,18.09,17.09,23.68,9.38,25.85,14.62,11.5,6.12,3.91,15.44,21.74,55.97,14.24,34.12,7.5,21.85,9.44,14.12,9.97,23.12,12.62,12.71,5.47,2.88,19.79
