Season,TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGM_A,FGA_A,FGM2_A,FGA2_A,FGM3_A,FGA3_A,FTM_A,FTA_A,OR_A,DR_A,Ast_A,TO_A,Stl_A,Blk_A,PF_A,BIH,COL,DCI,DOK,DOL,DUN,KPK,LMC,MAS,MB,MOR,NOL,PGH,POM,REW,RPI,RT,RTH,STH,WIL,WLK,WOL
2016,1101,23.81,53.93,16.96,35.07,6.85,18.85,15.37,21.74,8.19,22.52,12.89,13.41,6.74,2.44,22.37,26.48,53.67,20.89,38.52,5.59,15.15,17.7,24.96,8.59,25.22,12.85,13.44,5.11,3.3,19.67,314.26666666666665,321.92857142857144,317.6363636363636,318.1666666666667,311.0,316.8,318.05555555555554,329.72727272727275,320.77777777777777,191.0,327.6666666666667,310.26666666666665,326.77777777777777,329.1666666666667,290.8,321.0,314.6666666666667,325.3333333333333,293.6666666666667,330.3888888888889,311.0,316.3333333333333
2016,1102,23.23,55.03,16.93,36.17,6.3,18.87,14.67,21.77,8.8,25.5,13.03,13.2,6.1,1.67,19.33,24.7,56.63,15.47,30.17,9.23,26.47,14.97,21.07,9.97,27.3,14.63,13.57,6.5,4.33,20.6,168.4,174.64285714285714,232.54545454545453,233.38888888888889,173.86666666666667,228.5,197.22222222222223,246.45454545454547,192.5,191.0,273.8333333333333,197.66666666666666,179.55555555555554,244.94444444444446,174.3,215.66666666666666,234.2,188.83333333333334,228.0,172.5,218.125,180.75
2016,1103,25.94,59.82,14.15,29.55,11.79,30.27,12.67,18.36,10.3,26.12,14.52,10.82,5.33,3.85,17.85,25.06,59.58,19.12,39.97,5.94,19.61,13.0,19.24,11.21,25.88,11.48,11.55,5.85,2.36,17.76,72.0,66.28571428571429,89.27272727272727,76.27777777777777,59.86666666666667,90.6,65.94444444444444,84.81818181818181,66.94444444444444,191.0,88.66666666666667,54.6,79.61111111111111,70.61111111111111,62.5,38.666666666666664,114.4,83.66666666666667,57.833333333333336,96.5,80.9375,50.416666666666664
2016,1104,22.53,52.81,14.69,29.94,7.84,22.88,13.94,21.78,9.78,24.88,10.56,13.31,5.62,5.28,19.31,23.12,56.81,16.69,37.19,6.44,19.62,15.12,22.59,13.0,24.94,11.19,12.09,5.72,2.88,19.69,57.2,61.142857142857146,79.0909090909091,110.44444444444444,56.0,76.0,67.88888888888889,95.54545454545455,60.55555555555556,191.0,86.72222222222223,95.4,55.05555555555556,88.83333333333333,68.9,69.0,111.4,65.83333333333333,86.83333333333333,54.44444444444444,87.375,60.0
2016,1105,23.25,56.18,17.36,35.36,5.89,20.82,14.71,21.57,11.39,23.04,12.64,11.75,5.61,2.14,19.36,24.89,54.89,19.18,37.11,5.71,17.79,14.25,21.71,10.68,24.61,12.04,11.29,5.89,2.82,20.21,252.26666666666668,286.35714285714283,316.1818181818182,265.05555555555554,270.4,314.9,268.6111111111111,297.1818181818182,284.77777777777777,191.0,311.44444444444446,251.66666666666666,287.8333333333333,284.55555555555554,290.2,331.6666666666667,283.1333333333333,303.9166666666667,307.6666666666667,317.0,270.5625,277.6666666666667
2016,1106,24.79,62.1,17.86,41.21,6.93,20.9,13.55,19.55,12.69,24.59,11.83,12.07,5.72,3.79,21.34,25.69,56.03,19.69,38.28,6.0,17.76,16.41,25.1,10.62,27.52,13.21,12.93,6.03,3.72,17.52,261.26666666666665,280.0,304.72727272727275,294.8888888888889,268.1333333333333,297.6,263.72222222222223,282.90909090909093,276.8888888888889,191.0,321.8333333333333,270.06666666666666,270.5,289.1111111111111,271.0,270.0,293.53333333333336,307.75,300.5,271.05555555555554,296.4375,270.75
2016,1107,25.19,55.26,19.48,37.61,5.71,17.65,18.52,24.71,11.71,26.52,12.45,12.71,6.48,1.58,17.58,24.26,57.13,17.35,34.48,6.9,22.65,10.29,15.35,9.39,21.48,12.13,13.03,5.42,4.06,21.29,122.46666666666667,118.0,123.9090909090909,122.11111111111111,123.2,102.8,114.0,102.0,135.94444444444446,191.0,114.72222222222223,82.33333333333333,136.61111111111111,108.5,110.1,101.33333333333333,129.2,153.75,114.66666666666667,128.61111111111111,118.1875,104.58333333333333
2016,1108,22.86,56.64,16.86,37.25,6.0,19.39,14.86,21.75,12.89,23.18,9.07,14.36,4.46,3.89,18.43,24.86,55.96,17.5,36.04,7.36,19.93,15.61,22.21,10.86,24.11,13.25,11.79,7.04,3.21,19.18,311.8,304.57142857142856,313.27272727272725,332.05555555555554,309.8,311.6,322.94444444444446,338.54545454545456,323.94444444444446,191.0,341.77777777777777,283.06666666666666,321.44444444444446,329.6111111111111,292.3,247.33333333333334,329.8,326.4166666666667,298.8333333333333,332.8888888888889,334.1875,288.5
2016,1110,20.35,47.97,14.06,29.52,6.29,18.45,10.58,15.19,7.03,21.16,11.23,13.81,5.68,2.23,18.29,23.71,50.58,18.97,35.32,4.74,15.26,13.52,20.26,9.16,22.84,11.68,12.0,7.26,2.42,17.13,300.1333333333333,307.35714285714283,299.1818181818182,321.0,301.4,284.3,302.3888888888889,320.0,285.77777777777777,191.0,273.8888888888889,280.06666666666666,290.6111111111111,303.5,315.7,234.0,328.8,315.1666666666667,317.6666666666667,290.3888888888889,328.125,288.5833333333333
2016,1111,23.19,57.9,14.94,34.68,8.26,23.23,15.9,22.61,12.68,24.1,11.55,14.9,4.1,3.32,21.52,27.61,59.74,21.71,44.45,5.9,15.29,16.23,23.81,11.52,25.74,12.06,11.26,6.35,3.74,21.71,292.73333333333335,294.5,280.8181818181818,282.72222222222223,290.26666666666665,271.6,284.22222222222223,247.1818181818182,287.27777777777777,191.0,260.5,292.06666666666666,296.05555555555554,275.1666666666667,311.3,269.6666666666667,274.1333333333333,281.3333333333333,275.3333333333333,273.72222222222223,286.5,288.25
