Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2017,134,1243,95,1448,88,N,0,31,47,6,16,27,36,7,22,18,15,6,3,26,25,53,9,27,29,32,7,14,14,11,8,1,25
2017,134,1291,67,1309,66,N,0,25,47,10,19,7,13,6,19,14,16,6,1,13,29,54,1,9,7,12,10,18,12,14,10,2,18
2017,135,1413,67,1300,63,N,0,22,48,5,16,18,22,6,34,14,18,4,1,13,24,67,5,26,10,13,9,21,14,9,10,0,15
2017,135,1425,75,1344,71,N,0,24,57,7,19,20,27,16,20,12,7,4,4,13,25,51,9,20,12,17,7,20,17,9,3,2,21
2017,136,1112,100,1315,82,N,0,36,62,4,11,24,28,7,33,14,7,3,3,18,32,69,10,22,8,16,9,22,18,6,6,2,23
2017,136,1139,76,1457,64,N,0,24,49,8,19,20,30,5,37,15,12,4,6,15,25,62,9,25,5,10,3,24,12,9,6,1,22
2017,136,1196,80,1190,65,N,0,26,54,7,22,21,27,12,26,16,15,12,4,12,25,62,9,24,6,10,13,19,12,17,9,0,19
2017,136,1199,86,1195,80,N,0,30,54,2,13,24,39,9,37,16,16,9,9,19,29,70,8,28,14,20,7,19,18,11,6,1,23
2017,136,1211,66,1355,46,N,0,25,63,8,30,8,18,14,36,8,9,5,7,13,18,58,5,20,5,11,9,29,8,13,3,4,17
2017,136,1235,84,1305,73,N,0,30,54,8,19,16,18,7,31,17,13,4,3,15,26,65,8,26,13,16,10,18,13,7,8,4,14
2017,136,1292,81,1278,72,N,0,28,58,7,13,18,27,11,26,19,8,4,3,20,24,52,6,21,18,21,4,20,15,8,5,3,22
2017,136,1321,68,1435,66,N,0,26,53,6,14,10,18,8,29,10,12,7,0,18,21,55,9,26,15,18,7,23,9,10,7,6,16
2017,136,1323,60,1343,58,N,0,21,52,4,11,14,21,9,27,10,6,4,3,9,22,57,8,31,6,6,7,26,13,9,2,4,14
2017,136,1345,80,1436,70,N,0,31,60,9,20,9,14,11,27,16,10,2,6,15,27,61,10,27,6,10,8,20,21,9,6,1,17
2017,136,1388,85,1433,77,N,0,25,45,6,17,29,39,7,30,13,15,5,4,20,29,65,2,13,17,26,11,18,6,9,7,4,32
2017,136,1437,76,1291,56,N,0,31,60,6,17,8,11,14,29,14,13,5,3,17,21,57,5,21,9,12,10,17,10,9,5,5,15
