TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGMA,FGAA,FGM2A,FGA2A,FGM3A,FGA3A,FTMA,FTAA,ORA,DRA,AstA,TOA,StlA,BlkA,PFA,7OT,ARG,BBT,BIH,BLS,BUR,BWE,CNG,COL,COX,DAV,DC2,DCI,DDB,DII,DOK,DOL,DUN,EBP,ESR,FAS,FMG,FSH,HAS,JJK,JNG,KPI,KPK,KRA,LAB,LMC,LOG,MAS,MMG,MOR,PGH,PIG,POM,PRR,REW,RPI,RT,RTH,RTP,SAG,SEL,SFX,SGR,SMN,SMS,SP,SPR,SPW,STH,STM,TPR,TRK,TRP,WIL,WLK,WMV,WOB,WOL,YAG,ZAM
1101,25.52,56.48,19.04,36.52,6.48,19.96,13.15,18.67,9.04,23.22,13.89,14.41,7.15,3.63,21.04,24.78,54.3,18.15,34.56,6.63,19.74,16.63,23.44,9.93,25.04,12.04,15.48,6.52,2.93,17.67,285.85714285714283,218.85714285714286,238.1875,228.11111111111111,252.08333333333334,240.73333333333332,268.6111111111111,258.85714285714283,235.2,256.14285714285717,249.42857142857142,239.125,253.21428571428572,183.0,263.55555555555554,256.94444444444446,234.6,227.45454545454547,251.0,234.9090909090909,237.1875,241.76923076923077,267.6666666666667,259.7142857142857,254.6,188.3,248.57142857142858,239.0625,251.22222222222223,264.0,268.2,224.26666666666668,248.72222222222223,273.625,246.0,262.6111111111111,256.72222222222223,250.38888888888889,238.8125,238.57142857142858,245.71428571428572,241.75,255.42857142857142,247.83333333333334,273.6666666666667,236.92857142857142,232.28571428571428,244.3846153846154,222.53333333333333,240.08333333333334,266.72727272727275,244.42857142857142,219.0,223.3846153846154,280.3333333333333,253.85714285714286,253.55555555555554,250.66666666666666,260.1875,244.73333333333332,250.44444444444446,228.33333333333334,221.64285714285714,259.6875,246.44444444444446
1102,22.76,56.1,14.83,31.69,7.93,24.41,13.24,17.93,9.83,22.69,13.9,12.76,6.45,2.62,18.14,25.24,54.45,15.97,31.1,9.28,23.34,12.97,18.14,9.17,26.03,14.59,13.97,5.59,3.59,18.72,290.85714285714283,271.14285714285717,253.5625,245.11111111111111,255.08333333333334,259.4,242.83333333333334,238.42857142857142,246.0,235.71428571428572,256.5,263.25,256.42857142857144,176.0,234.11111111111111,214.5,239.13333333333333,266.72727272727275,266.05555555555554,246.63636363636363,244.5,246.3846153846154,255.53333333333333,245.28571428571428,230.4,271.4,231.28571428571428,258.0,225.66666666666666,256.3333333333333,271.5,281.0,231.83333333333334,242.0,260.8888888888889,237.77777777777777,256.0,253.22222222222223,256.0,243.14285714285714,269.92857142857144,256.625,239.64285714285714,257.22222222222223,249.72222222222223,241.35714285714286,243.85714285714286,257.15384615384613,255.4,263.0833333333333,253.45454545454547,230.85714285714286,263.0,249.76923076923077,209.66666666666666,254.28571428571428,243.0,249.05555555555554,220.8125,268.8,236.33333333333334,233.22222222222223,248.92857142857142,248.0,250.33333333333334
1103,24.68,57.06,15.23,30.42,9.45,26.65,12.48,17.94,9.58,23.48,12.94,13.84,5.97,2.39,20.03,26.13,55.87,17.97,33.26,8.16,22.61,15.77,21.81,9.32,25.42,13.35,13.0,6.39,3.65,17.39,187.42857142857142,231.85714285714286,208.25,211.66666666666666,254.0,251.66666666666666,196.16666666666666,257.0,192.33333333333334,238.57142857142858,238.92857142857142,258.625,206.64285714285714,226.0,199.0,216.05555555555554,203.33333333333334,211.45454545454547,241.33333333333334,220.9090909090909,202.9375,200.53846153846155,187.06666666666666,248.0,214.0,230.3,203.57142857142858,201.4375,203.44444444444446,244.0,272.5,261.6,188.5,230.375,244.27777777777777,179.44444444444446,196.5,226.11111111111111,223.0,217.71428571428572,234.92857142857142,227.5,202.42857142857142,168.44444444444446,197.0,197.42857142857142,237.71428571428572,221.53846153846155,191.46666666666667,237.25,219.9090909090909,252.0,218.0,225.92307692307693,260.6666666666667,271.42857142857144,230.61111111111111,210.83333333333334,146.1875,235.6,221.33333333333334,209.11111111111111,208.92857142857142,214.6875,228.77777777777777
1104,25.29,55.21,18.91,35.53,6.38,19.68,15.38,22.88,10.03,26.26,12.53,14.15,6.41,5.47,19.0,24.18,58.56,17.24,36.82,6.94,21.74,14.68,21.56,11.59,24.5,11.62,13.18,6.59,3.76,19.97,43.142857142857146,49.357142857142854,60.8125,47.77777777777778,52.416666666666664,40.06666666666667,47.833333333333336,47.285714285714285,40.13333333333333,47.285714285714285,58.142857142857146,62.5,46.42857142857143,74.0,40.94444444444444,45.611111111111114,55.13333333333333,44.27272727272727,46.27777777777778,56.54545454545455,44.8125,48.30769230769231,46.1875,61.714285714285715,49.4,30.8,20.285714285714285,47.0625,42.888888888888886,61.333333333333336,45.2,63.333333333333336,48.388888888888886,51.6875,46.666666666666664,39.05555555555556,37.5,43.333333333333336,54.5625,57.42857142857143,35.714285714285715,48.375,50.714285714285715,49.888888888888886,46.833333333333336,40.0,38.142857142857146,48.30769230769231,22.8,49.25,49.54545454545455,39.57142857142857,81.0,51.92307692307692,61.666666666666664,41.142857142857146,45.333333333333336,41.611111111111114,42.8125,44.8,42.666666666666664,41.0,57.142857142857146,54.4375,52.5
1105,21.71,54.71,15.84,35.32,5.87,19.39,11.13,17.19,10.81,22.94,10.97,16.58,3.97,1.58,16.32,28.42,59.45,21.06,40.26,7.35,19.19,12.16,17.71,11.06,25.26,14.84,11.39,7.65,4.87,17.06,350.14285714285717,349.7142857142857,347.5625,347.3333333333333,347.25,348.8,347.94444444444446,348.14285714285717,347.26666666666665,348.42857142857144,348.5,349.5,350.0,349.0,347.27777777777777,347.72222222222223,347.4,349.54545454545456,349.77777777777777,340.72727272727275,349.625,348.61538461538464,349.93333333333334,346.85714285714283,349.6,349.7,350.7142857142857,348.875,348.3333333333333,348.3333333333333,346.2,348.53333333333336,349.44444444444446,347.1875,349.6666666666667,346.1666666666667,348.1666666666667,348.94444444444446,347.0625,349.85714285714283,345.7142857142857,350.0625,348.42857142857144,348.05555555555554,349.6111111111111,348.07142857142856,349.2857142857143,349.2307692307692,345.6,348.4166666666667,349.6363636363636,348.14285714285717,350.0,348.2307692307692,350.0,349.85714285714283,348.72222222222223,349.05555555555554,350.6875,349.2,349.44444444444446,349.77777777777777,346.64285714285717,348.875,347.6111111111111
1106,24.23,59.29,17.48,38.71,6.74,20.58,13.48,20.87,12.71,23.77,10.1,14.1,5.45,4.19,20.9,26.23,57.9,18.55,37.55,7.68,20.35,18.48,26.97,12.65,27.1,13.48,12.94,6.68,3.84,19.03,340.14285714285717,344.2142857142857,340.6875,339.1111111111111,342.1666666666667,341.53333333333336,339.77777777777777,342.0,337.1333333333333,345.14285714285717,341.0,338.5,337.92857142857144,335.0,342.05555555555554,342.27777777777777,341.8,342.72727272727275,344.27777777777777,336.1818181818182,345.4375,341.6923076923077,342.73333333333335,345.57142857142856,336.2,335.2,343.85714285714283,343.3125,341.55555555555554,338.0,339.6,342.1333333333333,340.72222222222223,344.125,339.22222222222223,336.6666666666667,341.22222222222223,341.8333333333333,336.5,336.42857142857144,333.92857142857144,344.875,342.7857142857143,337.1666666666667,342.72222222222223,339.0,337.14285714285717,338.46153846153845,330.73333333333335,340.5,342.27272727272725,341.57142857142856,329.0,332.6923076923077,346.3333333333333,340.14285714285717,341.8333333333333,343.22222222222223,345.0625,342.3333333333333,339.55555555555554,344.44444444444446,340.92857142857144,341.375,341.8333333333333
1107,25.87,56.9,20.16,41.39,5.71,15.52,15.87,21.03,11.61,25.26,12.52,11.74,4.71,2.94,16.26,25.29,56.48,18.68,36.19,6.61,20.29,10.71,15.32,8.13,21.97,13.55,11.42,5.58,4.26,19.55,84.71428571428571,130.92857142857142,112.0,130.44444444444446,143.08333333333334,140.66666666666666,140.27777777777777,139.71428571428572,123.8,160.71428571428572,134.92857142857142,115.875,141.71428571428572,102.0,148.33333333333334,129.88888888888889,112.66666666666667,114.45454545454545,122.0,119.9090909090909,127.0625,150.30769230769232,132.13333333333333,142.71428571428572,137.6,138.5,165.71428571428572,125.75,154.22222222222223,120.66666666666667,122.2,119.73333333333333,132.05555555555554,146.1875,114.55555555555556,140.83333333333334,125.44444444444444,127.11111111111111,147.5625,134.57142857142858,137.0,142.875,161.71428571428572,119.05555555555556,132.27777777777777,165.07142857142858,131.42857142857142,124.23076923076923,140.13333333333333,127.41666666666667,138.45454545454547,147.71428571428572,109.0,138.69230769230768,155.33333333333334,136.42857142857142,139.44444444444446,120.33333333333333,159.9375,141.0,147.55555555555554,154.88888888888889,118.92857142857143,140.4375,134.44444444444446
1108,23.5,55.79,16.54,34.89,6.96,20.89,13.61,18.82,9.43,23.71,11.79,14.57,5.82,2.71,19.54,25.86,58.0,17.18,34.21,8.68,23.79,16.64,23.29,11.71,25.39,15.25,12.5,6.29,3.25,17.46,348.57142857142856,326.92857142857144,337.0625,338.22222222222223,339.4166666666667,339.4,336.05555555555554,338.7142857142857,332.4,336.57142857142856,341.42857142857144,339.75,325.92857142857144,338.0,335.1666666666667,338.3333333333333,331.6666666666667,333.1818181818182,335.72222222222223,326.3636363636364,336.0,330.6923076923077,335.93333333333334,340.42857142857144,337.4,303.0,332.85714285714283,324.8125,343.22222222222223,339.0,343.9,330.93333333333334,334.94444444444446,339.25,339.1666666666667,318.8888888888889,330.8333333333333,338.3333333333333,340.25,325.0,324.57142857142856,341.0625,340.07142857142856,308.55555555555554,338.1111111111111,330.64285714285717,327.2857142857143,340.9230769230769,302.6,338.75,339.3636363636364,339.0,338.0,330.6923076923077,341.0,341.7142857142857,336.55555555555554,336.27777777777777,320.3125,331.73333333333335,339.3333333333333,339.1111111111111,334.07142857142856,333.0,339.77777777777777
1110,23.27,53.83,15.3,30.2,7.97,23.63,10.87,16.37,8.07,20.9,12.23,13.77,7.23,3.27,18.37,25.87,53.17,19.23,35.87,6.63,17.3,15.47,21.67,9.53,25.77,13.73,13.77,6.93,3.6,16.63,287.85714285714283,321.64285714285717,298.0625,321.44444444444446,325.5,316.8666666666667,316.44444444444446,326.42857142857144,309.46666666666664,330.14285714285717,324.14285714285717,318.25,319.35714285714283,275.0,296.44444444444446,321.55555555555554,320.93333333333334,326.0,327.22222222222223,323.6363636363636,312.25,321.6923076923077,317.8,323.7142857142857,332.8,335.7,339.57142857142856,316.25,328.22222222222223,326.6666666666667,324.1,308.73333333333335,315.5,325.6875,300.44444444444446,309.1666666666667,305.8333333333333,312.1666666666667,308.25,340.2857142857143,307.14285714285717,324.1875,316.7142857142857,314.94444444444446,317.3888888888889,322.2857142857143,315.2857142857143,317.6923076923077,306.6,324.4166666666667,322.72727272727275,328.85714285714283,332.0,320.7692307692308,322.6666666666667,331.14285714285717,315.94444444444446,296.22222222222223,328.25,314.8,330.6666666666667,336.1111111111111,302.85714285714283,319.25,324.94444444444446
1111,25.35,59.39,16.84,33.81,8.52,25.58,14.65,21.87,11.19,26.26,11.87,13.52,5.45,3.32,18.9,26.58,58.81,19.39,39.87,7.19,18.94,15.68,21.55,9.13,26.97,12.77,12.39,6.61,3.23,20.42,234.14285714285714,199.85714285714286,229.8125,244.77777777777777,225.75,206.6,236.66666666666666,221.0,254.33333333333334,203.85714285714286,219.92857142857142,227.875,220.14285714285714,179.0,236.27777777777777,205.55555555555554,231.6,236.0,193.27777777777777,243.0909090909091,214.8125,247.84615384615384,229.2,203.5,246.8,259.4,256.57142857142856,217.875,249.33333333333334,224.0,201.8,179.86666666666667,233.55555555555554,203.4375,196.22222222222223,249.66666666666666,233.11111111111111,214.38888888888889,199.25,239.14285714285714,252.92857142857142,221.9375,234.5,272.27777777777777,234.61111111111111,243.35714285714286,191.14285714285714,227.92307692307693,279.93333333333334,237.83333333333334,233.27272727272728,205.85714285714286,256.0,198.3846153846154,210.33333333333334,202.28571428571428,216.55555555555554,207.88888888888889,257.625,216.2,240.88888888888889,254.33333333333334,250.0,232.3125,212.0
