Season,DayNum,team_1,team_2,team_1_won,team_1_FGM,team_1_FGA,team_1_FGM2,team_1_FGA2,team_1_FGM3,team_1_FGA3,team_1_FTM,team_1_FTA,team_1_OR,team_1_DR,team_1_Ast,team_1_TO,team_1_Stl,team_1_Blk,team_1_PF,team_1_FGMA,team_1_FGAA,team_1_FGM2A,team_1_FGA2A,team_1_FGM3A,team_1_FGA3A,team_1_FTMA,team_1_FTAA,team_1_ORA,team_1_DRA,team_1_AstA,team_1_TOA,team_1_StlA,team_1_BlkA,team_1_PFA,team_2_FGM,team_2_FGA,team_2_FGM2,team_2_FGA2,team_2_FGM3,team_2_FGA3,team_2_FTM,team_2_FTA,team_2_OR,team_2_DR,team_2_Ast,team_2_TO,team_2_Stl,team_2_Blk,team_2_PF,team_2_FGMA,team_2_FGAA,team_2_FGM2A,team_2_FGA2A,team_2_FGM3A,team_2_FGA3A,team_2_FTMA,team_2_FTAA,team_2_ORA,team_2_DRA,team_2_AstA,team_2_TOA,team_2_StlA,team_2_BlkA,team_2_PFA
2021,23,1101,1190,1,27.17,59.04,19.04,37.48,8.13,21.57,13.83,20.09,9.61,22.83,18.17,13.43,9.35,3.0,5.74,20.78,51.35,15.7,33.87,5.09,17.48,15.09,21.83,7.78,22.65,10.04,18.3,7.09,3.78,5.09,24.39,56.48,16.3,33.3,8.09,23.17,11.74,16.83,9.04,24.17,11.35,13.04,7.13,2.52,3.3,23.3,54.74,14.74,29.87,8.57,24.87,12.09,17.3,8.17,22.74,13.09,12.83,6.48,3.17,2.96
2021,23,1104,1240,1,27.8,64.57,17.13,34.17,10.67,30.4,13.3,18.47,10.4,25.97,14.13,13.83,8.63,4.33,4.93,25.1,62.0,19.1,41.17,6.0,20.83,13.57,19.77,9.97,24.63,11.03,15.03,8.0,4.83,4.43,26.24,57.56,18.32,34.68,7.92,22.88,12.24,17.84,9.68,25.44,13.8,13.2,4.72,3.48,3.68,25.28,61.28,16.88,35.56,8.4,25.72,10.64,15.6,8.96,21.44,13.12,10.24,6.2,2.56,4.32
2021,23,1111,1354,1,23.21,57.29,15.0,32.12,8.21,25.17,13.54,18.92,8.88,22.04,11.33,11.12,7.54,3.17,8.08,25.46,57.83,18.12,35.96,7.33,21.88,10.0,13.88,8.75,24.75,12.62,13.04,5.83,4.54,9.92,22.28,57.22,15.44,35.78,6.83,21.44,9.83,15.89,8.33,19.72,9.89,15.89,5.89,2.83,5.06,28.11,57.33,20.61,36.56,7.5,20.78,14.83,20.44,9.56,26.22,15.28,15.61,7.5,3.33,5.17
2021,23,1113,1348,1,26.24,60.6,19.08,39.12,7.16,21.48,14.68,20.16,6.6,21.88,13.08,10.76,7.28,3.28,6.72,26.84,58.4,19.16,37.2,7.68,21.2,15.72,21.08,9.08,27.68,14.92,14.68,5.56,3.2,6.36,25.4,57.44,19.68,39.12,5.72,18.32,14.92,22.32,9.08,26.16,12.12,13.76,6.52,4.56,2.96,24.88,59.76,17.44,37.24,7.44,22.52,13.88,20.0,8.36,23.6,13.64,12.2,6.92,3.8,3.2
2021,23,1114,1341,1,24.2,53.52,18.6,35.6,5.6,17.92,14.32,20.16,8.88,22.92,13.36,14.68,6.36,3.24,5.4,24.96,56.92,17.12,34.48,7.84,22.44,11.52,15.84,8.16,21.0,13.56,13.12,6.8,3.04,6.56,27.0,60.24,20.38,38.48,6.62,21.76,10.67,16.29,10.05,22.48,15.86,13.38,9.62,4.24,9.14,21.95,52.24,16.38,34.71,5.57,17.52,14.76,24.05,9.29,23.1,11.0,17.48,6.86,3.14,7.57
2021,23,1116,1290,1,29.46,64.79,21.61,41.61,7.86,23.18,15.61,21.18,10.57,26.14,14.93,12.82,8.04,5.14,4.04,25.43,61.29,17.93,38.25,7.5,23.04,12.32,17.96,8.43,24.11,11.82,15.0,6.75,3.64,5.18,20.0,56.04,11.08,28.92,8.92,27.12,7.92,13.83,5.75,21.88,11.0,16.96,4.58,2.96,4.0,32.12,66.33,23.5,42.25,8.62,24.08,14.5,21.58,11.83,30.04,18.25,10.38,9.25,2.79,4.04
2021,23,1122,1303,1,26.36,59.28,19.36,38.24,7.0,21.04,13.2,17.44,11.6,19.96,12.6,14.16,6.4,1.88,4.4,25.92,54.04,18.52,33.96,7.4,20.08,12.12,17.8,8.08,21.52,11.8,15.12,7.72,2.52,4.08,25.0,59.76,19.68,43.88,5.32,15.88,12.0,17.44,7.28,24.6,9.44,12.72,5.64,3.0,5.24,27.92,60.0,19.56,38.24,8.36,21.76,13.76,18.68,8.24,27.12,13.84,11.64,6.36,2.8,5.04
2021,23,1133,1405,1,25.54,57.77,18.92,36.69,6.62,21.08,9.54,13.08,8.31,24.77,13.19,12.23,4.92,3.23,3.12,23.73,55.54,14.38,31.0,9.35,24.54,11.27,16.77,7.85,23.42,13.0,10.92,6.46,2.23,2.31,28.59,62.38,17.97,34.21,10.62,28.17,13.83,17.76,8.69,25.03,15.93,10.76,6.07,2.45,3.52,27.03,63.83,19.45,38.1,7.59,25.72,10.86,14.97,10.41,24.07,12.34,12.21,5.38,2.86,4.34
2021,23,1139,1444,1,22.88,55.72,15.72,33.56,7.16,22.16,10.6,16.4,7.64,21.36,12.32,10.64,5.56,2.04,5.0,25.32,54.48,18.16,34.0,7.16,20.48,10.88,15.52,6.36,24.84,13.8,11.84,5.12,3.68,4.96,23.7,55.1,16.75,34.15,6.95,20.95,8.8,13.35,7.25,24.05,11.7,13.95,4.15,1.95,4.2,27.05,61.55,19.4,37.65,7.65,23.9,11.7,16.1,9.2,25.05,11.45,9.45,7.75,2.55,3.45
2021,23,1155,1280,1,23.52,54.96,15.17,30.83,8.35,24.13,9.91,12.96,7.43,22.61,13.26,11.91,6.09,2.87,2.87,22.0,52.52,14.83,31.22,7.17,21.3,10.83,15.52,7.35,22.35,11.22,13.3,6.57,3.0,2.61,25.76,57.17,20.55,41.62,5.21,15.55,12.14,18.79,10.93,25.07,12.93,14.31,6.28,4.66,3.41,23.9,59.28,16.0,34.83,7.9,24.45,10.93,14.31,8.86,20.31,13.93,11.41,6.83,3.69,3.72
