Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT
2022,134,1231,66,1461,58,N,0
2022,134,1411,76,1394,67,N,0
2022,135,1323,89,1353,87,N,2
2022,135,1460,93,1136,82,N,0
2022,136,1116,75,1436,71,N,0
2022,136,1124,85,1313,49,N,0
2022,136,1166,72,1361,69,N,1
2022,136,1211,93,1209,72,N,0
2022,136,1242,83,1411,56,N,0
2022,136,1272,64,1129,53,N,0
2022,136,1276,75,1161,63,N,0
2022,136,1293,92,1362,87,N,1
2022,136,1308,70,1163,63,N,0
2022,136,1314,95,1266,63,N,0
2022,136,1344,66,1355,57,N,0
2022,136,1350,67,1234,63,N,0
2022,136,1388,82,1231,53,N,0
2022,136,1389,85,1246,79,N,1
2022,136,1397,88,1255,56,N,0
2022,136,1417,57,1103,53,N,0
2022,137,1112,87,1460,70,N,0
2022,137,1120,80,1240,61,N,0
2022,137,1181,78,1168,61,N,0
2022,137,1222,82,1412,68,N,0
2022,137,1228,54,1151,53,N,0
2022,137,1235,59,1261,54,N,0
2022,137,1274,68,1425,66,N,0
2022,137,1277,74,1172,73,N,0
2022,137,1323,78,1104,64,N,0
2022,137,1326,54,1260,41,N,0
2022,137,1345,78,1463,56,N,0
2022,137,1395,69,1371,42,N,0
2022,137,1400,81,1439,73,N,0
2022,137,1403,97,1286,62,N,0
2022,137,1437,80,1174,60,N,0
2022,137,1458,67,1159,60,N,0
2022,138,1116,53,1308,48,N,0
2022,138,1211,82,1272,78,N,0
2022,138,1242,79,1166,72,N,0
2022,138,1276,76,1397,68,N,0
2022,138,1314,93,1124,86,N,1
2022,138,1344,79,1350,51,N,0
2022,138,1389,70,1293,60,N,0
2022,138,1417,72,1388,56,N,0
2022,139,1112,85,1395,80,N,1
2022,139,1181,85,1277,76,N,0
2022,139,1222,68,1228,53,N,0
2022,139,1235,54,1458,49,N,0
2022,139,1274,79,1120,61,N,0
2022,139,1345,81,1400,71,N,0
2022,139,1403,59,1323,53,N,0
2022,139,1437,71,1326,61,N,0
2022,143,1116,74,1211,68,N,0
2022,143,1181,78,1403,73,N,0
2022,143,1222,72,1112,60,N,0
2022,143,1437,63,1276,55,N,0
2022,144,1242,66,1344,61,N,0
2022,144,1274,70,1235,56,N,0
2022,144,1314,73,1417,66,N,0
2022,144,1389,67,1345,64,N,0
2022,145,1181,78,1116,69,N,0
2022,145,1437,50,1222,44,N,0
2022,146,1242,76,1274,50,N,0
2022,146,1314,69,1389,49,N,0
2022,152,1242,81,1437,65,N,0
2022,152,1314,81,1181,77,N,0
2022,154,1242,72,1314,69,N,0
