Season,Slot,StrongSeed,WeakSeed
2023,R1W1,1345,1192
2023,R1W2,1266,1436
2023,R1W3,1243,1286
2023,R1W4,1397,1418
2023,R1W5,1181,1331
2023,R1W6,1246,1344
2023,R1W7,1277,1425
2023,R1W8,1272,1194
2023,R1X1,1104,1394
2023,R1X2,1112,1343
2023,R1X3,1124,1364
2023,R1X4,1438,1202
2023,R1X5,1361,1158
2023,R1X6,1166,1301
2023,R1X7,1281,1429
2023,R1X8,1268,1452
2023,R1Y1,1222,1297
2023,R1Y2,1400,1159
2023,R1Y3,1462,1244
2023,R1Y4,1231,1245
2023,R1Y5,1274,1179
2023,R1Y6,1235,1338
2023,R1Y7,1401,1336
2023,R1Y8,1234,1120
2023,R1Z1,1242,1224
2023,R1Z2,1417,1421
2023,R1Z3,1211,1213
2023,R1Z4,1163,1233
2023,R1Z5,1388,1433
2023,R1Z6,1395,1305
2023,R1Z7,1321,1129
2023,R1Z8,1116,1228
2023,R2W1,1345,1194
2023,R2W2,1436,1425
2023,R2W3,1286,1246
2023,R2W4,1397,1331
2023,R2X1,1394,1268
2023,R2X2,1112,1429
2023,R2X3,1124,1166
2023,R2X4,1202,1158
2023,R2Y1,1222,1234
2023,R2Y2,1159,1401
2023,R2Y3,1462,1235
2023,R2Y4,1245,1179
2023,R2Z1,1224,1116
2023,R2Z2,1421,1321
2023,R2Z3,1211,1395
2023,R2Z4,1233,1433
2023,R3W1,1194,1331
2023,R3W2,1436,1286
2023,R3X1,1268,1158
2023,R3X2,1429,1124
2023,R3Y1,1222,1179
2023,R3Y2,1401,1462
2023,R3Z1,1224,1433
2023,R3Z2,1321,1211
2023,R4W1,1331,1436
2023,R4X1,1158,1429
2023,R4Y1,1179,1401
2023,R4Z1,1224,1211
2023,R5WX,1436,1158
2023,R5YZ,1401,1211
2023,R6CH,1436,1211
