TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGMA,FGAA,FGM2A,FGA2A,FGM3A,FGA3A,FTMA,FTAA,ORA,DRA,AstA,TOA,StlA,BlkA,PFA,7OT,ARG,ATP,BAR,BBT,BIH,BNZ,BWE,CBR,COL,DAV,DCI,DII,DOK,DOL,DUN,EBP,EMK,FAS,HAS,INC,JJK,JNG,KCX,KLK,KPK,KRA,LAW,LMC,LOG,MAS,MB,MMG,MOR,NET,NOL,OMN,PGH,PIR,POM,REW,RME,RMS,RPI,RT,RTH,RTP,RWP,SAG,SEL,SFX,SMS,SPR,SRS,STH,STY,TPR,TRK,TRP,WIL,WLK,WMV,WOB,WOL
1101,25.38,58.35,18.69,38.85,6.69,19.5,13.73,18.85,7.62,19.62,14.77,11.85,7.96,1.96,20.88,25.81,51.42,19.23,34.15,6.58,17.27,16.69,23.46,7.35,25.15,13.54,15.77,5.38,3.19,19.15,253.55555555555554,194.2,263.1764705882353,232.25,220.5,236.5625,186.94444444444446,202.77777777777777,251.25,242.4,260.3333333333333,203.2,197.94444444444446,184.72222222222223,219.83333333333334,196.72222222222223,154.77777777777777,166.16666666666666,222.06666666666666,195.66666666666666,212.55555555555554,236.3846153846154,212.88888888888889,204.6,240.6875,177.55555555555554,217.0,220.0,224.66666666666666,200.5,188.88888888888889,228.13333333333333,217.6,200.11111111111111,227.66666666666666,195.6,204.4,221.66666666666666,190.16666666666666,180.77777777777777,215.75,227.53846153846155,242.76470588235293,222.0,251.3125,227.0,224.4,208.66666666666666,204.94444444444446,217.11111111111111,123.0,215.0,208.5,225.07142857142858,225.0,189.14285714285714,250.8,192.72222222222223,184.44444444444446,190.0,226.33333333333334,216.57142857142858,215.85714285714286,224.71428571428572
1102,23.62,51.12,15.47,28.22,8.16,22.91,11.53,15.97,5.62,21.44,15.31,10.91,5.75,3.94,17.0,23.88,53.69,18.69,36.0,5.19,17.69,14.12,18.88,7.94,22.31,10.09,10.69,5.72,3.09,17.03,181.22222222222223,182.93333333333334,91.05882352941177,143.4375,194.875,173.9375,183.5,171.5,152.66666666666666,156.06666666666666,157.44444444444446,163.33333333333334,173.0,195.55555555555554,200.77777777777777,192.94444444444446,215.5,205.88888888888889,157.8,155.05555555555554,183.77777777777777,159.53846153846155,187.38888888888889,137.6,145.0625,183.94444444444446,156.28571428571428,139.0,125.0,175.14285714285714,196.11111111111111,183.06666666666666,144.8,177.16666666666666,157.06666666666666,177.33333333333334,150.2,169.27777777777777,163.16666666666666,174.94444444444446,171.5,144.76923076923077,172.0,229.0,171.625,159.28571428571428,198.53333333333333,154.66666666666666,202.11111111111111,149.77777777777777,207.22222222222223,168.07142857142858,195.88888888888889,128.71428571428572,143.22222222222223,141.14285714285714,164.4,150.38888888888889,189.44444444444446,163.11111111111111,148.46666666666667,142.14285714285714,157.28571428571428,201.28571428571428
1103,25.39,57.45,16.58,32.26,8.81,25.19,14.58,19.32,8.39,23.45,13.0,10.84,5.77,2.61,16.19,24.71,56.81,17.65,36.71,7.06,20.1,11.84,15.94,7.32,21.52,11.48,11.32,5.71,3.03,18.65,93.55555555555556,122.13333333333334,159.2941176470588,124.4375,132.5,114.3125,127.0,112.61111111111111,134.75,118.86666666666666,132.77777777777777,98.86666666666666,118.94444444444444,113.94444444444444,120.0,96.72222222222223,120.11111111111111,128.61111111111111,118.06666666666666,134.55555555555554,124.16666666666667,112.07692307692308,129.72222222222223,107.8,118.9375,121.77777777777777,112.14285714285714,99.0,105.0,132.0,113.11111111111111,118.46666666666667,108.0,117.05555555555556,118.73333333333333,105.6,94.8,111.11111111111111,111.83333333333333,114.61111111111111,96.25,105.0,114.23529411764706,97.0,105.5,121.0,94.0,106.5,120.72222222222223,117.77777777777777,81.88888888888889,122.14285714285714,125.61111111111111,118.64285714285714,116.22222222222223,111.85714285714286,138.2,120.16666666666667,116.22222222222223,119.88888888888889,119.8,107.28571428571429,108.14285714285714,110.71428571428571
1104,27.76,62.21,17.71,32.44,10.06,29.76,16.59,22.85,11.26,29.62,15.21,13.59,6.06,5.06,18.62,23.94,64.38,18.41,44.68,5.53,19.71,15.09,21.12,9.5,23.47,10.0,11.41,7.29,3.71,20.09,4.666666666666667,5.333333333333333,18.058823529411764,7.0625,6.0625,3.8125,7.5,5.888888888888889,9.25,3.1333333333333333,7.222222222222222,7.2,9.722222222222221,6.277777777777778,5.833333333333333,13.61111111111111,6.277777777777778,8.277777777777779,4.4,9.88888888888889,5.888888888888889,3.923076923076923,6.0,1.8,4.375,8.5,2.2857142857142856,4.0,3.0,3.4285714285714284,7.722222222222222,3.2,3.4,7.0,4.333333333333333,6.066666666666666,1.8,5.055555555555555,3.25,7.444444444444445,2.75,3.769230769230769,4.352941176470588,1.0,4.875,3.2857142857142856,3.466666666666667,2.3333333333333335,7.0,1.5555555555555556,7.055555555555555,3.7857142857142856,5.5,4.357142857142857,1.5555555555555556,1.5714285714285714,5.533333333333333,8.944444444444445,5.0,12.277777777777779,3.8,1.4285714285714286,2.0,2.9285714285714284
1105,24.23,56.5,17.83,38.03,6.4,18.47,13.1,20.3,8.77,21.13,12.07,13.73,7.5,3.97,19.1,23.6,55.3,16.13,33.23,7.47,22.07,16.37,23.1,9.97,22.37,12.6,14.17,7.5,3.7,18.03,344.8888888888889,341.26666666666665,294.4117647058824,323.5625,338.625,331.6875,324.6111111111111,334.94444444444446,317.4166666666667,330.2,329.44444444444446,315.2,333.1111111111111,339.77777777777777,340.27777777777777,326.5,341.6666666666667,340.3333333333333,333.53333333333336,318.1666666666667,336.94444444444446,325.7692307692308,326.77777777777777,315.2,318.625,336.6111111111111,326.2857142857143,302.0,317.0,342.0,343.72222222222223,338.0,321.0,339.1666666666667,334.4,313.46666666666664,301.0,330.55555555555554,329.8333333333333,326.27777777777777,284.25,338.46153846153845,318.70588235294116,324.0,313.5625,330.2142857142857,338.73333333333335,303.6666666666667,340.3333333333333,316.1111111111111,327.6111111111111,331.07142857142856,326.8888888888889,313.07142857142856,317.0,308.42857142857144,326.06666666666666,325.72222222222223,336.1111111111111,312.3888888888889,336.1333333333333,317.57142857142856,308.7142857142857,335.85714285714283
1106,21.8,58.57,15.83,39.17,5.97,19.4,12.87,18.3,10.3,21.67,9.73,12.3,5.67,3.5,17.87,25.73,58.8,18.77,38.4,6.97,20.4,14.03,20.33,10.63,25.03,11.83,11.27,6.73,4.83,16.3,359.6666666666667,342.6666666666667,335.52941176470586,349.8125,341.25,332.0,340.0,349.5,350.8333333333333,332.6666666666667,350.55555555555554,349.1333333333333,344.27777777777777,349.44444444444446,335.44444444444446,353.6666666666667,344.72222222222223,353.3333333333333,348.6,350.77777777777777,353.3333333333333,341.46153846153845,343.94444444444446,345.6,345.1875,342.3888888888889,348.14285714285717,355.0,350.0,341.57142857142856,344.6666666666667,328.6,345.6,359.6666666666667,340.06666666666666,347.1333333333333,351.0,330.1666666666667,343.25,345.8888888888889,347.0,348.2307692307692,343.0,349.0,356.625,343.7857142857143,335.4,345.8333333333333,351.3333333333333,332.55555555555554,351.5,341.35714285714283,342.8333333333333,349.64285714285717,341.22222222222223,341.57142857142856,347.0,344.72222222222223,344.27777777777777,332.3888888888889,344.8666666666667,347.14285714285717,346.57142857142856,322.92857142857144
1107,23.03,56.59,15.52,33.28,7.52,23.31,12.79,17.55,8.31,21.34,11.28,11.9,5.52,1.59,18.52,27.24,55.31,20.59,36.45,6.66,18.86,15.07,20.38,7.24,24.17,14.66,10.97,6.31,3.62,16.28,349.77777777777777,335.1333333333333,338.3529411764706,337.3125,340.5,336.875,309.6666666666667,330.1666666666667,345.0833333333333,335.1333333333333,343.0,328.46666666666664,328.5,328.05555555555554,329.8888888888889,340.72222222222223,329.5,335.0,338.6666666666667,330.8333333333333,328.5,336.3076923076923,329.55555555555554,342.0,338.9375,332.77777777777777,350.0,342.0,342.0,332.5,330.1666666666667,330.8,338.9,341.55555555555554,335.2,324.53333333333336,336.8,333.27777777777777,337.9166666666667,332.8333333333333,346.75,332.2307692307692,338.1764705882353,341.0,333.8125,345.7142857142857,301.06666666666666,352.1666666666667,327.77777777777777,342.6666666666667,331.6666666666667,332.0,332.72222222222223,340.7142857142857,350.3333333333333,348.42857142857144,331.3333333333333,338.8888888888889,333.0,336.5,335.2,347.42857142857144,349.85714285714283,333.0
1108,24.06,58.48,18.94,41.13,5.13,17.35,14.87,20.55,10.32,20.81,9.9,11.94,8.03,2.55,19.03,24.35,54.52,17.03,32.45,7.32,22.06,14.61,21.29,9.13,21.81,14.16,14.13,5.71,3.42,17.68,272.55555555555554,230.4,214.7058823529412,253.9375,205.5625,196.625,274.22222222222223,257.1666666666667,225.58333333333334,216.13333333333333,259.1111111111111,255.2,265.1111111111111,274.6111111111111,194.55555555555554,245.66666666666666,288.3333333333333,274.6666666666667,242.8,254.61111111111111,285.94444444444446,234.07692307692307,212.72222222222223,271.2,251.6875,227.22222222222223,220.28571428571428,281.0,264.0,218.78571428571428,245.05555555555554,189.13333333333333,273.6,289.72222222222223,241.73333333333332,214.4,236.6,213.88888888888889,270.1666666666667,265.44444444444446,178.75,233.3846153846154,202.58823529411765,191.0,294.9375,221.5,212.13333333333333,231.66666666666666,266.6111111111111,221.55555555555554,260.6111111111111,242.5,230.83333333333334,285.14285714285717,216.44444444444446,232.71428571428572,237.26666666666668,272.1111111111111,269.55555555555554,213.44444444444446,227.0,238.57142857142858,215.85714285714286,178.07142857142858
1110,24.53,50.94,18.16,32.53,6.38,18.41,9.97,14.22,6.94,21.28,13.62,13.16,7.44,3.94,15.06,23.56,52.03,16.81,34.5,6.75,17.53,12.06,16.69,7.16,19.44,12.31,11.69,8.25,2.34,15.19,249.77777777777777,179.13333333333333,98.17647058823529,205.8125,195.8125,182.375,267.72222222222223,237.33333333333334,183.41666666666666,178.0,204.66666666666666,259.8,262.6111111111111,252.38888888888889,185.22222222222223,206.11111111111111,226.83333333333334,211.05555555555554,188.13333333333333,233.72222222222223,245.16666666666666,177.76923076923077,182.05555555555554,271.6,218.6875,203.16666666666666,241.42857142857142,267.0,247.33333333333334,178.42857142857142,224.55555555555554,196.0,237.5,238.11111111111111,192.73333333333332,214.53333333333333,300.4,226.11111111111111,237.41666666666666,242.38888888888889,243.75,156.3846153846154,215.64705882352942,251.0,222.375,222.35714285714286,192.8,247.66666666666666,232.38888888888889,222.22222222222223,258.3888888888889,213.57142857142858,229.5,232.21428571428572,251.88888888888889,268.2857142857143,219.6,239.38888888888889,245.83333333333334,252.5,195.13333333333333,243.14285714285714,240.85714285714286,169.07142857142858
1111,23.9,56.34,16.79,34.76,7.1,21.59,10.72,16.48,7.31,23.9,11.72,9.97,5.52,4.41,14.03,24.1,58.1,16.66,35.83,7.45,22.28,10.48,14.41,8.93,24.38,12.24,10.72,5.76,2.52,15.69,100.77777777777777,168.46666666666667,258.1764705882353,197.375,191.75,210.0,171.83333333333334,203.33333333333334,209.83333333333334,212.33333333333334,205.33333333333334,205.66666666666666,201.94444444444446,198.38888888888889,199.77777777777777,202.77777777777777,174.33333333333334,209.16666666666666,180.06666666666666,193.38888888888889,195.27777777777777,211.84615384615384,187.94444444444446,184.8,201.6875,180.44444444444446,200.14285714285714,177.0,177.66666666666666,187.64285714285714,198.44444444444446,216.53333333333333,186.7,148.66666666666666,212.26666666666668,201.46666666666667,169.8,207.94444444444446,179.25,198.72222222222223,201.5,216.23076923076923,203.47058823529412,198.0,176.1875,204.57142857142858,208.93333333333334,178.66666666666666,192.05555555555554,210.11111111111111,128.38888888888889,204.92857142857142,188.61111111111111,192.71428571428572,214.11111111111111,188.0,181.0,177.11111111111111,171.83333333333334,204.61111111111111,200.73333333333332,192.57142857142858,198.28571428571428,223.28571428571428
