TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGMA,FGAA,FGM2A,FGA2A,FGM3A,FGA3A,FTMA,FTAA,ORA,DRA,AstA,TOA,StlA,BlkA,PFA
1101,24.68,58.1,19.61,43.29,5.06,14.81,16.55,22.48,7.81,21.42,11.94,12.1,7.9,2.1,19.68,26.1,55.71,20.29,38.29,5.81,17.42,15.61,22.52,8.84,25.84,12.13,14.1,6.35,3.45,19.16
1102,23.45,51.74,14.65,27.32,8.81,24.42,10.45,15.32,6.42,19.45,14.55,10.74,6.52,3.94,17.45,24.97,52.61,17.9,33.32,7.06,19.29,15.35,20.55,8.16,21.74,12.45,11.03,5.74,3.1,15.97
1103,25.56,56.34,18.06,32.94,7.5,23.41,13.72,18.94,8.19,23.88,12.31,10.81,5.34,2.88,16.97,24.53,56.94,18.25,36.0,6.28,20.94,11.47,16.53,7.47,21.72,11.12,10.31,6.0,2.56,17.38
1104,30.91,64.75,19.84,34.47,11.06,30.28,17.88,22.81,11.03,25.09,15.91,11.81,7.25,4.06,19.88,27.62,62.69,20.28,39.66,7.34,23.03,18.47,24.84,9.69,21.88,12.41,11.28,7.41,4.31,20.03
1105,22.82,54.73,18.61,39.94,4.21,14.79,18.85,26.21,9.42,22.39,10.42,15.27,7.61,3.88,21.06,24.27,56.91,16.79,35.94,7.48,20.97,19.76,26.36,10.03,22.67,13.15,13.55,9.42,3.39,20.27
1106,22.97,64.45,16.03,39.72,6.93,24.72,13.21,18.38,11.28,22.66,10.21,11.03,8.24,3.59,19.45,22.97,54.59,15.34,32.21,7.62,22.38,17.38,23.69,8.21,27.97,12.24,13.1,6.31,4.97,16.17
1107,28.35,64.06,20.58,40.39,7.77,23.68,13.55,18.68,9.68,23.19,12.61,12.58,8.03,3.16,19.58,28.55,60.61,23.29,42.65,5.26,17.97,17.06,23.58,9.03,23.81,13.29,12.45,7.42,4.65,15.77
1108,25.61,57.77,20.35,42.39,5.26,15.39,15.45,21.58,9.35,21.87,11.65,11.0,6.77,1.81,17.71,26.45,56.94,16.68,30.87,9.77,26.06,15.23,20.84,8.87,21.0,15.87,11.13,6.39,4.06,17.68
1110,24.1,53.9,15.71,29.74,8.39,24.16,11.06,15.29,7.48,21.58,13.58,10.03,5.77,1.68,16.45,24.23,53.16,15.94,30.68,8.29,22.48,11.06,15.84,7.03,21.26,12.58,10.23,5.1,2.52,16.0
1111,28.71,60.48,22.39,41.65,6.32,18.84,13.39,19.55,9.35,27.9,14.0,10.16,5.97,6.52,12.84,26.13,65.52,19.26,44.1,6.87,21.42,9.0,12.97,9.0,22.94,10.71,9.87,7.0,2.35,16.52
1112,31.55,64.52,23.73,43.45,7.82,21.06,17.03,23.7,11.55,27.45,18.58,11.76,8.27,3.48,16.33,26.42,62.48,18.45,38.64,7.97,23.85,11.42,16.06,7.15,21.36,13.91,12.85,7.03,3.76,19.21
