Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT
2007,10,3233,66,3385,56,A,0
2007,10,3301,78,3219,48,H,0
2007,10,3345,67,3125,43,H,0
2007,10,3390,88,3258,61,H,0
2007,11,3104,62,3359,53,H,0
2007,11,3110,78,3200,53,A,0
2007,11,3113,87,3304,60,H,0
2007,11,3116,75,3155,69,A,0
2007,11,3120,71,3441,56,A,0
2007,11,3124,84,3317,47,H,0
2007,11,3128,70,3379,60,H,0
2007,11,3129,73,3413,56,H,0
2007,11,3132,68,3178,37,A,0
2007,11,3137,85,3214,77,H,0
2007,11,3140,73,3226,50,H,0
2007,11,3145,74,3138,58,H,0
2007,11,3150,76,3117,65,H,0
2007,11,3151,80,3122,56,H,0
2007,11,3153,85,3464,78,A,0
2007,11,3158,63,3354,46,H,0
2007,11,3160,62,3362,56,H,0
2007,11,3162,75,3259,69,H,0
2007,11,3196,78,3316,37,H,0
2007,11,3203,72,3420,58,H,0
2007,11,3210,87,3273,48,H,0
2007,11,3211,57,3428,45,H,0
2007,11,3216,62,3171,45,H,0
2007,11,3220,79,3455,72,A,0
2007,11,3221,68,3463,56,H,0
2007,11,3231,75,3448,53,N,0
2007,11,3238,65,3322,60,A,0
2007,11,3240,81,3244,76,A,1
2007,11,3243,72,3453,67,H,0
2007,11,3246,80,3450,51,H,0
2007,11,3247,77,3107,63,A,0
2007,11,3257,81,3173,54,H,0
2007,11,3265,82,3392,72,H,0
2007,11,3268,80,3292,76,A,0
2007,11,3269,60,3436,48,A,0
2007,11,3274,68,3209,60,H,0
2007,11,3275,86,3156,84,A,0
2007,11,3278,75,3320,63,H,0
2007,11,3279,92,3368,46,H,0
2007,11,3280,74,3407,43,H,0
2007,11,3299,61,3391,49,H,0
2007,11,3307,74,3194,44,N,0
2007,11,3310,76,3159,62,H,0
2007,11,3314,96,3190,35,H,0
2007,11,3321,64,3434,45,H,0
2007,11,3323,88,3141,66,H,0
2007,11,3325,72,3298,49,H,0
2007,11,3329,77,3415,47,H,0
2007,11,3336,74,3180,56,A,0
2007,11,3344,52,3264,46,A,0
2007,11,3347,67,3439,60,A,0
2007,11,3349,76,3284,45,A,0
2007,11,3360,95,3169,77,A,0
2007,11,3364,88,3340,73,H,0
2007,11,3378,85,3454,59,H,0
2007,11,3387,85,3103,58,H,0
2007,11,3389,76,3254,73,A,1
2007,11,3401,72,3337,48,H,0
2007,11,3403,66,3427,58,H,0
2007,11,3408,75,3372,52,H,0
2007,11,3419,71,3270,53,A,0
2007,11,3425,85,3253,50,H,0
2007,11,3433,68,3148,47,A,0
2007,11,3438,69,3348,56,A,0
2007,11,3457,83,3272,60,N,0
2007,11,3458,91,3102,58,A,0
2007,11,3459,57,3205,47,H,0
2007,12,3111,64,3416,44,H,0
2007,12,3114,66,3166,55,H,0
2007,12,3133,67,3152,60,H,0
2007,12,3168,69,3363,52,A,0
2007,12,3173,96,3272,71,N,0
2007,12,3175,72,3162,57,H,0
2007,12,3181,102,3318,49,H,0
2007,12,3189,60,3144,46,H,0
2007,12,3191,85,3287,67,H,0
2007,12,3227,87,3444,83,H,0
2007,12,3234,79,3283,70,A,0
2007,12,3236,66,3405,55,H,0
2007,12,3242,64,3371,50,N,0
2007,12,3251,91,3313,53,H,0
2007,12,3257,69,3457,45,H,0
2007,12,3263,66,3456,46,H,0
2007,12,3276,80,3115,50,H,0
2007,12,3282,71,3294,46,H,0
2007,12,3296,97,3229,69,H,0
2007,12,3305,76,3142,62,H,0
2007,12,3331,82,3295,67,H,0
2007,12,3333,60,3381,38,H,0
2007,12,3343,70,3447,52,H,0
2007,12,3350,59,3193,48,A,0
2007,12,3358,81,3411,65,H,0
2007,12,3382,80,3373,60,H,0
2007,12,3384,63,3271,59,H,0
2007,12,3404,79,3146,69,A,0
2007,12,3406,65,3207,57,A,0
2007,12,3409,67,3369,54,H,0
2007,12,3410,65,3147,46,A,0
2007,12,3426,69,3319,60,H,0
2007,12,3443,73,3256,60,A,0
2007,13,3113,67,3307,49,H,0
2007,13,3124,81,3220,71,H,0
2007,13,3130,68,3357,46,H,0
2007,13,3143,71,3388,56,H,0
2007,13,3169,77,3340,67,H,0
2007,13,3172,67,3421,55,H,0
2007,13,3173,55,3457,42,N,0
2007,13,3174,68,3437,63,H,0
2007,13,3179,79,3442,45,H,0
2007,13,3199,93,3412,77,H,0
2007,13,3203,63,3164,53,H,0
2007,13,3204,62,3391,46,H,0
2007,13,3208,78,3353,69,N,0
2007,13,3211,73,3413,70,H,0
2007,13,3228,65,3139,47,H,0
2007,13,3231,54,3246,51,A,0
2007,13,3234,63,3242,49,N,0
2007,13,3241,82,3187,66,H,0
2007,13,3250,57,3254,36,A,0
2007,13,3255,66,3110,59,A,0
2007,13,3257,102,3272,64,H,0
2007,13,3259,66,3180,57,A,0
2007,13,3261,64,3452,25,H,0
2007,13,3267,74,3298,47,A,0
2007,13,3268,99,3206,43,H,0
2007,13,3281,71,3356,60,A,0
2007,13,3301,59,3233,34,H,0
2007,13,3304,93,3194,53,N,0
2007,13,3308,69,3249,52,A,0
2007,13,3310,84,3156,83,A,1
2007,13,3314,83,3445,32,H,0
2007,13,3321,78,3260,60,A,0
2007,13,3326,77,3119,41,A,0
2007,13,3328,105,3177,71,H,0
2007,13,3336,71,3393,46,H,0
2007,13,3337,57,3424,42,A,0
2007,13,3339,74,3334,60,H,0
2007,13,3344,62,3135,53,H,0
2007,13,3345,83,3216,51,H,0
2007,13,3349,92,3351,57,A,0
2007,13,3352,90,3275,89,H,0
2007,13,3365,76,3253,67,A,0
2007,13,3371,62,3283,55,A,0
2007,13,3372,69,3379,62,A,0
2007,13,3374,78,3427,49,H,0
2007,13,3376,78,3190,53,H,0
2007,13,3383,61,3248,48,H,0
2007,13,3386,63,3137,56,H,0
2007,13,3389,67,3221,55,H,0
2007,13,3397,102,3151,72,H,0
2007,13,3400,78,3271,55,H,0
2007,13,3417,87,3364,62,H,0
2007,13,3418,59,3402,39,N,0
2007,13,3422,74,3423,46,H,0
2007,13,3435,81,3160,76,A,0
2007,13,3438,92,3330,72,H,0
2007,13,3439,97,3224,78,N,0
2007,13,3448,45,3450,37,N,0
2007,13,3461,71,3362,58,H,0
2007,13,3462,86,3196,70,H,0
2007,14,3113,96,3194,60,H,0
2007,14,3116,62,3419,54,H,0
2007,14,3117,73,3104,56,H,0
2007,14,3123,62,3276,58,A,0
2007,14,3140,55,3390,52,A,0
2007,14,3155,64,3158,42,H,0
2007,14,3161,89,3282,72,H,0
2007,14,3163,84,3350,50,H,0
2007,14,3186,80,3414,60,A,0
2007,14,3201,61,3428,55,A,0
2007,14,3239,105,3149,66,A,0
2007,14,3240,74,3128,68,H,0
2007,14,3243,94,3166,79,H,0
2007,14,3261,88,3224,44,H,0
2007,14,3264,70,3192,61,H,0
2007,14,3274,78,3454,71,H,0
2007,14,3288,63,3312,55,A,0
2007,14,3304,66,3307,59,N,0
2007,14,3323,85,3132,81,H,1
2007,14,3355,72,3292,61,A,0
2007,14,3368,67,3416,49,H,0
2007,14,3387,83,3152,63,H,0
2007,14,3400,69,3418,59,H,0
2007,14,3402,51,3271,33,N,0
2007,14,3439,60,3452,56,N,0
2007,15,3112,83,3311,41,H,0
2007,15,3122,74,3191,72,H,0
2007,15,3130,68,3174,60,H,0
2007,15,3131,82,3348,66,A,0
2007,15,3137,71,3162,53,A,0
2007,15,3142,68,3333,65,H,0
2007,15,3153,89,3115,65,H,0
2007,15,3159,62,3145,57,H,1
2007,15,3164,59,3420,48,A,0
2007,15,3178,73,3138,61,H,0
2007,15,3182,58,3384,57,H,0
2007,15,3183,92,3133,75,H,0
2007,15,3199,84,3200,34,A,0
2007,15,3210,79,3111,53,A,0
2007,15,3228,53,3227,48,A,0
2007,15,3229,77,3260,66,A,0
2007,15,3237,73,3296,67,A,0
2007,15,3238,73,3147,48,H,0
2007,15,3247,74,3437,62,A,0
2007,15,3249,74,3108,59,H,0
2007,15,3251,61,3206,56,A,0
2007,15,3261,70,3439,40,H,0
2007,15,3266,78,3449,61,H,0
2007,15,3269,60,3306,38,H,0
2007,15,3278,78,3150,66,H,0
2007,15,3279,99,3412,85,A,0
2007,15,3281,89,3394,60,H,0
2007,15,3305,68,3361,62,A,0
2007,15,3309,70,3270,65,H,0
2007,15,3310,71,3382,64,H,0
2007,15,3336,68,3376,57,H,0
2007,15,3339,83,3225,56,H,0
2007,15,3346,72,3221,69,H,0
2007,15,3357,57,3127,53,A,0
2007,15,3360,68,3415,53,H,0
2007,15,3369,64,3146,60,H,0
2007,15,3400,74,3402,55,H,0
2007,15,3403,69,3222,51,A,0
2007,15,3406,76,3445,51,H,0
2007,15,3418,68,3271,36,N,0
2007,15,3430,68,3429,60,H,0
2007,15,3441,74,3448,71,A,0
2007,15,3452,84,3224,61,N,0
2007,15,3458,80,3444,77,H,0
2007,16,3107,72,3373,52,A,0
2007,16,3113,91,3311,46,H,0
2007,16,3120,84,3106,47,H,0
2007,16,3208,89,3299,35,H,0
2007,16,3231,85,3434,51,H,0
2007,16,3234,88,3232,83,H,0
2007,16,3235,85,3168,62,H,0
2007,16,3240,84,3204,77,H,0
2007,16,3248,68,3291,55,A,0
2007,16,3274,85,3365,83,A,0
2007,16,3344,83,3389,68,H,0
2007,16,3345,68,3301,38,H,0
2007,16,3387,96,3398,59,H,0
2007,16,3393,72,3165,64,H,0
2007,16,3433,58,3347,55,A,0
2007,16,3453,90,3324,68,H,0
2007,16,3459,86,3149,60,H,0
2007,16,3461,76,3294,46,A,0
2007,17,3105,70,3128,58,H,0
2007,17,3124,84,3140,58,H,0
2007,17,3126,60,3391,55,H,0
2007,17,3151,73,3155,64,A,0
2007,17,3153,65,3173,60,H,0
2007,17,3157,70,3158,56,A,0
2007,17,3163,81,3159,37,H,0
2007,17,3210,83,3209,41,H,0
2007,17,3211,84,3170,43,H,0
2007,17,3242,66,3282,53,H,0
2007,17,3261,65,3418,31,H,0
2007,17,3335,54,3250,53,A,0
2007,17,3336,75,3323,49,H,0
2007,17,3397,83,3417,60,H,0
2007,17,3401,95,3273,41,H,0
2007,17,3435,86,3443,78,A,0
2007,17,3456,67,3350,54,A,0
2007,18,3102,72,3294,59,A,0
2007,18,3104,71,3399,56,H,0
2007,18,3116,77,3252,39,A,0
2007,18,3119,75,3135,59,A,0
2007,18,3120,85,3445,47,H,0
2007,18,3127,53,3457,40,A,0
2007,18,3129,72,3339,62,H,0
2007,18,3132,76,3107,40,N,0
2007,18,3139,85,3133,73,H,0
2007,18,3143,88,3196,60,H,0
2007,18,3145,48,3271,44,H,0
2007,18,3150,82,3384,72,H,0
