Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2023,135,3280,70,3228,56,N,0,25,59,4,14,16,21,14,28,15,14,6,6,14,22,58,4,20,8,11,6,20,5,10,8,4,15
2023,135,3357,57,3380,47,N,0,21,58,3,21,12,17,5,23,13,14,10,7,14,20,54,1,9,6,9,6,29,6,19,7,2,21
2023,136,3385,66,3345,64,N,0,24,54,11,23,7,9,9,17,15,14,6,4,20,24,49,6,10,10,11,6,20,11,15,5,1,16
2023,136,3399,79,3284,69,N,0,25,54,12,26,17,19,5,20,14,9,4,5,15,24,58,6,23,15,17,8,16,10,10,3,2,19
2023,137,3112,75,3452,62,N,0,30,65,2,12,13,20,11,35,19,10,4,8,19,20,64,5,24,17,24,7,23,9,7,8,2,20
2023,137,3208,66,3199,54,N,0,23,58,5,12,15,19,8,36,15,16,10,4,14,18,67,8,29,10,13,9,24,10,14,8,6,19
2023,137,3234,95,3368,43,H,0,36,60,8,20,15,18,8,36,27,16,10,5,6,17,67,4,22,5,6,10,15,13,15,6,1,20
2023,137,3261,73,3218,50,H,0,27,62,1,14,18,25,15,23,14,10,12,8,12,16,52,7,32,11,12,9,20,8,18,6,3,21
2023,137,3268,93,3221,61,H,0,36,69,9,19,12,17,10,22,21,12,13,4,14,23,55,6,17,9,13,5,19,12,22,8,1,12
2023,137,3276,71,3424,59,N,0,26,59,6,15,13,16,12,27,15,13,7,3,13,23,60,7,25,6,7,6,23,11,13,4,2,14
2023,137,3279,71,3211,48,N,0,25,66,7,24,14,22,20,22,9,8,2,3,20,17,58,1,17,13,17,11,18,7,8,4,1,18
2023,137,3280,81,3166,66,N,0,26,53,11,19,18,20,4,25,18,11,5,0,18,25,67,9,34,7,8,9,18,16,10,6,1,19
2023,137,3323,82,3381,56,H,0,36,74,3,14,7,12,20,30,24,9,8,8,22,20,56,4,13,12,20,5,17,10,9,4,5,10
2023,137,3343,64,3301,63,N,0,23,69,8,26,10,13,11,21,15,9,13,5,17,25,51,4,10,9,13,4,33,14,20,5,4,17
2023,137,3355,62,3425,57,N,1,19,54,2,10,22,27,9,30,5,20,11,4,18,21,67,6,24,9,14,12,22,9,20,8,9,23
2023,137,3376,72,3313,40,H,0,21,54,5,17,25,41,16,33,17,12,11,11,8,16,61,4,12,4,9,11,16,6,15,10,0,24
2023,137,3378,67,3266,65,N,1,23,60,2,18,19,23,11,32,4,14,4,3,18,23,70,4,13,15,22,15,19,12,8,8,2,21
2023,137,3390,92,3357,49,H,0,37,75,6,21,12,21,19,28,21,6,8,7,9,18,59,2,14,11,15,4,15,4,10,1,1,18
2023,137,3428,103,3205,77,H,0,37,63,7,16,22,28,9,30,32,18,9,3,19,28,69,7,22,14,17,7,19,10,14,9,3,25
2023,137,3439,58,3151,33,H,0,23,48,5,14,7,10,6,30,9,13,5,5,9,14,49,4,18,1,5,5,17,5,12,5,2,11
2023,138,3124,78,3104,74,N,0,25,55,14,28,14,16,9,18,22,15,9,7,12,26,53,14,26,8,9,4,20,20,18,9,3,19
2023,138,3160,82,3292,60,N,0,30,62,13,27,9,10,9,31,21,16,5,6,17,25,64,4,24,6,7,4,19,8,8,9,5,9
