Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2023,7,3102,67,3176,63,A,0,22,61,6,20,17,18,10,25,16,11,11,4,24,20,57,5,24,18,26,14,21,8,17,7,5,17
2023,7,3104,98,3105,51,H,0,31,58,13,25,23,33,11,35,18,12,10,7,23,16,64,2,12,17,27,14,21,5,13,3,2,20
2023,7,3113,69,3319,68,H,0,26,72,4,18,13,18,15,28,11,12,9,5,17,26,73,9,27,7,15,13,27,17,15,9,7,15
2023,7,3116,70,3115,50,A,0,23,58,7,17,17,36,11,20,3,13,6,0,14,17,50,4,19,12,27,7,25,7,14,2,2,27
2023,7,3124,88,3249,50,H,0,33,68,9,25,13,20,12,26,22,10,6,5,19,18,50,3,12,11,19,5,23,11,19,4,5,20
2023,7,3130,81,3262,53,H,0,33,63,3,12,12,24,12,26,20,22,18,7,23,16,47,7,17,14,18,3,15,10,26,9,3,21
2023,7,3132,77,3382,61,A,0,30,75,5,18,12,17,16,16,11,12,16,3,20,22,49,8,20,9,15,9,23,11,29,4,6,24
2023,7,3136,70,3171,63,A,0,25,52,9,21,11,17,8,20,14,13,7,2,13,24,54,5,17,10,16,7,18,11,10,8,1,18
2023,7,3143,86,3169,56,H,0,30,66,8,27,18,24,17,25,18,10,7,4,16,19,57,6,11,12,17,11,18,12,16,6,3,23
2023,7,3145,57,3138,55,H,0,21,57,5,24,10,16,10,22,8,14,7,7,21,19,52,3,10,14,26,8,24,9,11,9,5,19
2023,7,3155,81,3205,54,H,0,30,58,7,18,14,19,13,36,15,34,12,5,22,19,69,6,28,10,14,11,13,7,25,18,2,22
2023,7,3159,62,3165,48,H,0,24,50,5,18,9,10,3,24,17,20,4,2,18,19,63,1,16,9,12,13,18,12,15,12,0,17
2023,7,3160,85,3308,55,H,0,31,54,6,12,17,23,15,27,19,19,6,5,18,22,63,5,17,6,11,11,12,6,12,10,3,19
2023,7,3162,77,3272,69,A,0,23,52,7,24,24,30,7,23,18,18,6,4,16,28,64,7,18,6,11,9,17,10,15,8,2,24
2023,7,3166,78,3355,69,A,0,28,56,7,15,15,19,7,22,18,13,9,1,17,26,58,5,21,12,16,5,23,15,13,6,1,21
2023,7,3172,77,3219,64,A,0,30,55,5,16,12,25,11,17,16,14,9,4,23,23,52,6,18,12,18,8,19,15,20,7,3,25
2023,7,3174,82,3255,62,A,0,31,63,7,15,13,16,9,30,12,20,11,11,21,20,63,8,24,14,18,7,18,9,21,9,4,19
2023,7,3179,80,3453,67,H,0,29,66,10,23,12,16,9,32,19,13,8,4,13,26,67,7,26,8,8,7,25,11,12,5,2,22
2023,7,3181,77,3299,57,H,0,30,64,7,21,10,14,8,25,26,13,9,8,29,11,51,1,20,34,37,9,21,6,17,6,3,19
2023,7,3185,71,3473,56,H,0,29,70,5,19,8,10,14,26,13,10,7,9,17,21,55,7,21,7,10,2,21,8,20,6,4,11
2023,7,3187,71,3354,35,H,0,28,69,5,23,10,16,21,15,20,19,20,5,22,11,38,1,19,12,16,7,20,7,36,9,0,14
2023,7,3191,89,3184,81,A,0,28,65,14,28,19,24,13,25,17,24,8,3,26,28,72,6,16,19,25,16,22,13,18,6,3,19
2023,7,3193,62,3135,52,A,0,22,57,2,8,16,22,7,31,17,12,5,5,15,23,71,3,20,3,11,17,21,10,17,5,5,21
